kmedia_id,country,city,full_address,start_date,end_date,year,month,comments Edo,הערות אלכס
8082,Ukraine,Odessa,,2003-08-29,2003-09-02,2003,,,
8108,Israel,,,2004-03-29,2004-04-12,2004,3,haolami,
8081,Ukraine,Odessa,,2004-08-20,2004-08-22,2004,,,
8138,Israel,,,2004-09-30,2004-10-08,2004,9,haolami,
8009,Ukraine,Kiev,,2004-11-18,2004-11-22,2004,,,
8052,Canada,,,2005-01-06,2005-01-09,2005,,,
8043,Germany,,,2005-02-11,2005-02-14,2005,,,
4742,United States,San Francisco,,2005-03-21,2005-03-23,2005,,,
4778,United States,New York,,2005-09-23,2005-09-25,2005,,,
8080,Ukraine,Odessa,,2005-10-21,2005-10-23,2005,,,
8036,Austria,,,2005-12-09,2005-12-11,2005,,,
8053,Canada,,,2006-07-27,2006-07-30,2006,,,
8022,Chile,,,2006-08-04,2006-08-06,2006,,,
8086,United States,New York,,2007-01-12,2007-01-14,2007,1,,
8046,Estonia,,,2007-02-20,2007-02-22,2007,,,
4514,Russia,Moscow,,,,,,Fagot concert,להוריד מהקטלוג של הכנס הזה ולמחוק את הקטלוג
8087,United States,New York,,2007-08-24,2007-08-26,2007,8,,
8063,Poland,,,2007-11-25,2007-11-26,2007,,,
8125,Israel,,,2008-02-04,2008-02-06,2008,2,haolami,
8088,United States,New York,,2008-05-30,2008-06-01,2008,6,,
8079,Ukraine,Odessa,,2008-09-12,2008-09-14,2008,,,
8038,England,,,2008-11-07,2008-11-09,2008,,,
8089,United States,New York,,2008-11-10,2008-11-11,2008,11,,
3849,United States,St. Louis,,2008-11-12,2008-11-17,2008,,,
8109,Israel,,,2009-02-02,2009-02-04,2009,2,haolami,
8090,United States,New York,,2009-05-15,2009-05-17,2009,,,
8042,Germany,,,2009-06-19,2009-06-21,2009,,,
8050,Argentina,,,2009-08-28,2009-08-30,2009,,Mixed with other stuff,
3997,United States,Buffalo,,2009-10-16,2009-10-18,2009,,New York,
8044,Turkey,,,2009-10-22,2009-10-25,2009,,,
8035,Italy,,,2010-01-22,2010-01-24,2010,,,
8110,Israel,,,2010-02-22,2010-02-24,2010,2,haolami,
4546,United States,New York,,2010-05-07,2010-05-09,2010,,,
8144,Israel,,,2010-07-23,2010-07-25,2010,7,haolami,
