catalog_id,catalog_name,container_id,container_name,container.type_id,unit.id,unit.type_id,collection.id
8081,congress_ukraine_odessa_2004,2400,Odessa_Lesson-1_20-08-04,4,6109,11,2069
8081,congress_ukraine_odessa_2004,2401,Odessa_Lesson-2_20-08-04,4,6110,11,2069
8081,congress_ukraine_odessa_2004,2411,Odessa_Lesson-4_22-08-04,4,6114,11,2073
8081,congress_ukraine_odessa_2004,2412,Odessa_Lesson-3_20-08-04,4,6111,11,2070
8081,congress_ukraine_odessa_2004,2421,Odessa_Lesson-5_22-08-04,4,6115,11,2074
8081,congress_ukraine_odessa_2004,2423,Odessa_Pressconf_20-08-04,4,6112,11,2071
8110,congress_israel_haolami_2010-02,22144,spa-bb-hoveret_zohar-laam_le-kenes,4,15139,11,7092
8110,congress_israel_haolami_2010-02,22146,2010-02-22_xx_heb_rav_lesson_congress-2010_n1,4,13991,11,6547
8110,congress_israel_haolami_2010-02,22148,2010-02-22_xx_heb_rav_lesson_congress-2010_n2,4,13992,11,6547
8110,congress_israel_haolami_2010-02,22150,2010-02-22_xx_heb_rav_lesson_congress-2010_n3,4,13993,11,6548
8110,congress_israel_haolami_2010-02,22151,2010-02-22_heb_rav_congress-2010_pritzot,4,13994,11,6549
8110,congress_israel_haolami_2010-02,22152,2010-02-23_xx_heb_rav_lesson_congress-2010_n4,4,13995,11,6550
8110,congress_israel_haolami_2010-02,22156,2010-02-23_xx_heb_rav_lesson_congress-2010_n5,4,13996,11,6550
8110,congress_israel_haolami_2010-02,22157,2010-02-23_xx_heb_rav_lesson_congress-2010_n6,4,13997,11,6551
8110,congress_israel_haolami_2010-02,22159,2010-02-24_xx_heb_rav_lesson_congress-2010_n7,4,13999,11,6553
8110,congress_israel_haolami_2010-02,22162,2010-02-24_xx_heb_rav_lesson_congress-2010_n8,4,14000,11,6553
8110,congress_israel_haolami_2010-02,22163,2010-02-24_xx_heb_rav_lesson_congress-2010_n9,4,14001,11,6554
8110,congress_israel_haolami_2010-02,22165,2010-02-23_heb_rav_congress-2010_pritzot,4,13998,11,6552
8110,congress_israel_haolami_2010-02,22203,2010-02-09_rus_norav_promo_congress-2010_zohar_hol,4,13936,11,6526
4693,congress_ukraine_kharkov_2012,34695,2012-08-03_heb_rav_lesson_sheelot-kenes-harkov-vevaada-shvuit,4,18220,11,8458
4693,congress_ukraine_kharkov_2012,34784,2012-08-10_heb_rav_lesson_al-kenes-kharkov,4,18245,11,8464
4693,congress_ukraine_kharkov_2012,35027,2012-08-16_heb_rav_lesson_congress_n0,4,18274,11,8472
4693,congress_ukraine_kharkov_2012,35029,2012-08-17_heb_rav_lesson_congress_n1,4,18276,11,8473
4693,congress_ukraine_kharkov_2012,35031,2012-08-17_heb_rav_lesson_congress_n2,4,18277,11,8473
4693,congress_ukraine_kharkov_2012,35034,2012-08-17_heb_rav_lesson_congress_n3,4,18278,11,8474
4693,congress_ukraine_kharkov_2012,35036,2012-08-17_heb_rav_lesson_congress_n4,4,18279,11,8475
4693,congress_ukraine_kharkov_2012,35039,2012-08-17_heb_rav_lesson_congress_n5,4,18280,11,8476
4693,congress_ukraine_kharkov_2012,35044,2012-08-17_heb_rav_lesson_congress_n6,4,18281,11,8477
4693,congress_ukraine_kharkov_2012,35046,2012-08-17_heb_rav_lesson_congress_n7,4,18282,11,8478
8061,congress_bulgaria_2013,46215,2013-11-01_rav_lesson_congress_n1,4,20450,11,9442
8061,congress_bulgaria_2013,46217,2013-11-01_rav_lesson_congress_n2,4,20451,11,9442
8061,congress_bulgaria_2013,46219,2013-11-01_rav_lesson_congress_n3,4,20452,11,9443
8061,congress_bulgaria_2013,46220,2013-11-01_rav_lesson_congress_n4,4,20453,11,9444
8061,congress_bulgaria_2013,46235,2013-11-01_rav_lesson_congress_n5,4,20454,11,9445
8062,congress_bulgaria_2014,52040,2014-07-11_rav_lesson_congress_n1,4,21468,11,9725
8062,congress_bulgaria_2014,52041,2014-07-11_rav_lesson_congress_n2,4,21469,11,9725
8062,congress_bulgaria_2014,52042,2014-07-11_rav_lesson_congress_n3,4,21470,11,9725
8062,congress_bulgaria_2014,52045,2014-07-11_rav_lesson_congress_n4,4,21471,11,9725
8025,congress_mexico_2014,52473,2014-08-01_rav_lesson_congress_n1,4,21529,11,9740
8025,congress_mexico_2014,52476,2014-08-01_rav_lesson_congress_n2,4,21530,11,9740
8025,congress_mexico_2014,52477,2014-08-01_rav_lesson_congress_n3,4,21531,11,9740
8025,congress_mexico_2014,52480,2014-08-01_rav_lesson_congress_n4,4,21532,11,9740
8025,congress_mexico_2014,52501,2014-08-01_rav_lesson_congress_n5,4,21533,11,9740
8115,congress_israel_haolami_2016,62473,2016-02-21_rav_lesson_achana,4,23783,11,10184
8115,congress_israel_haolami_2016,62400,2016-02-17_rav_lesson_shiur-achana-le-kenes,4,23769,11,10180
8115,congress_israel_haolami_2016,62196,2016-02-05_rav_lesson_shiur-achana-le-kenes,4,23717,11,10171
8115,congress_israel_haolami_2016,62103,2016-01-31_rav_lesson_shiur-achana-le-kenes,4,23691,11,10166
8115,congress_israel_haolami_2016,62113,2016-02-01_rav_lesson_shiur-achana-le-kenes,4,23699,11,10167
8115,congress_israel_haolami_2016,62124,2016-02-02_rav_lesson_shiur-achana-le-kenes,4,23701,11,10168
8115,congress_israel_haolami_2016,62146,2016-02-03_rav_lesson_shiur-achana-la-kenes,4,23706,11,10169
8115,congress_israel_haolami_2016,62167,2016-02-04_rav_lesson_shiur-achana-le-kenes,4,23711,11,10170
8115,congress_israel_haolami_2016,62078,2016-01-29_rav_lesson_shiur-achana-le-kenes,4,23685,11,10165
8115,congress_israel_haolami_2016,62220,2016-02-07_rav_lesson_shiur-achana-le-kenes,4,23734,11,10172
8115,congress_israel_haolami_2016,62238,2016-02-08_rav_lesson_shiur-achana-le-kenes,4,23739,11,10173
8115,congress_israel_haolami_2016,62040,2016-01-28_rav_lesson_shiur-achana-le-kenes,4,23673,11,10164
8115,congress_israel_haolami_2016,62303,2016-02-12_rav_lesson_shiur-achana-le-kenes,4,23919,11,10215
8115,congress_israel_haolami_2016,62323,2016-02-14_rav_lesson_shiur-achana-le-kenes,4,23759,11,10178
8115,congress_israel_haolami_2016,62342,2016-02-15_rav_lesson_shiur-achana-le-kenes,4,23757,11,10177
8115,congress_israel_haolami_2016,62369,2016-02-16_rav_lesson_shiur-achana-le-kenes,4,23764,11,10179
8115,congress_israel_haolami_2016,62020,2016-01-27_rav_lesson_achana-la-kenes,4,23669,11,10163
8115,congress_israel_haolami_2016,62504,2016-02-22_rav_lesson_congress_n0,4,23800,11,10187
8115,congress_israel_haolami_2016,62444,2016-02-19_rav_lesson_shiur-achana-le-kenes,4,23778,11,10183
8115,congress_israel_haolami_2016,62277,2016-02-10_rav_lesson_shiur-achana-le-kenes,4,23746,11,10175
8115,congress_israel_haolami_2016,62474,2016-02-21_rav_lesson_rb-dargot-sulam-024-ikar-ma-haser,4,23784,11,10184
8115,congress_israel_haolami_2016,62475,2016-02-21_rav_lesson_rb-igeret-40,4,23785,11,10184
8115,congress_israel_haolami_2016,61915,2016-01-21_rav_lesson_sheelot-achana-le-kenes,4,23641,11,10158
8115,congress_israel_haolami_2016,62466,2016-02-19_rav_lesson_sadnat-achana-lekenes,4,23777,11,10183
8115,congress_israel_haolami_2016,62507,2016-02-23_rav_lesson_congress_n1,4,23794,11,10187
8115,congress_israel_haolami_2016,62468,2016-02-19_rav_lesson_rb-1989-15-tzadikim-nikarim,4,23781,11,10183
8115,congress_israel_haolami_2016,62485,2016-02-21_rav_lesson_sheelot-mikli-olami,4,23786,11,10184
8115,congress_israel_haolami_2016,62442,2016-02-18_rav_lesson_sheelot-mikli-olami,4,23776,11,10182
8115,congress_israel_haolami_2016,62305,2016-02-12_rav_lesson_shminiot-ba-kenes,4,23923,11,10215
