catalog_id,catalog_name,container_id,container_name,container.type_id,unit.id,unit.type_id,collection.id
8172,congress_chile_2012,32568,2012-05-01_heb_rav_lesson_lehagia-le-ihud-pnimi,4,17712,11,8200
8172,congress_chile_2012,32571,2012-05-01_heb_rav_lesson_mea-21-lean,4,17713,11,8200
8172,congress_chile_2012,32572,2012-05-01_heb_rav_lesson_sadna-chile,4,17714,11,8201
8117,congress_israel_ahziv_2011-09,29354,2011-09-01_heb_rav_lesson_congress_n1,4,16579,11,7719
8117,congress_israel_ahziv_2011-09,29356,2011-09-02_heb_rav_lesson_congress_n2,4,16580,11,7720
8117,congress_israel_ahziv_2011-09,29358,2011-09-02_heb_rav_lesson_congress_n3,4,16581,11,7720
8123,congress_israel_woman_2016-07,64751,2016-07-17_rav_lesson_congress_shiur-nashim,4,24362,11,10301
8024,congress_chile_2017,68781,2017-04-26_norav_program_congress_yeshivat-haverim-1,1,27023,18,10641
8024,congress_chile_2017,68565,2017-04-07_rav_lesson_achana-le-kenes,4,25907,11,10735
8024,congress_chile_2017,68783,2017-04-26_rav_lesson_congress_n1,4,25972,11,10748
8024,congress_chile_2017,68696,2017-04-18_rav_lesson_achana-le-kenes_n1,4,25928,11,10737
8024,congress_chile_2017,68784,2017-04-26_norav_program_congress_yeshivat-haverim-2,1,27024,18,10641
8024,congress_chile_2017,68697,2017-04-18_rav_lesson_achana-le-kenes_n2,4,25920,11,10737
8024,congress_chile_2017,68785,2017-04-26_rav_lesson_congress_n2,4,25977,11,10748
8024,congress_chile_2017,68788,2017-04-27_norav_program_congress_yeshivat-haverim-3,1,27025,18,10641
8024,congress_chile_2017,68791,2017-04-27_rav_lesson_congress_n3,4,25980,11,10748
8024,congress_chile_2017,68792,2017-04-27_norav_program_congress_yeshivat-haverim-4,1,27026,18,10641
8024,congress_chile_2017,68793,2017-04-27_rav_lesson_congress_n4,4,25985,11,10748
8024,congress_chile_2017,68746,2017-04-21_rav_lesson_achana-le-kenes_n4,4,25933,11,10734
8024,congress_chile_2017,68794,2017-04-27_norav_program_congress_yeshivat-haverim-5,1,27027,18,10641
8024,congress_chile_2017,68795,2017-04-27_rav_lesson_congress_n5,4,25990,11,10748
8024,congress_chile_2017,68748,2017-04-21_rav_lesson_achana-le-kenes_n5,4,25918,11,10734
8024,congress_chile_2017,68802,2017-04-28_rav_congress_seudat-sikum,1,27028,19,10641
8024,congress_chile_2017,68764,2017-04-21_rav_lesson_achana-le-kenes_n6,4,25940,11,10734
8096,congress_usa_new-jersey_2013,42443,2013-05-05_rav_program_sihot_ahana-lekenes-america,1,26622,20,10906
8096,congress_usa_new-jersey_2013,42541,2013-05-09_rav_lesson_sicha-ahana-lekenes,4,19888,11,9263
8096,congress_usa_new-jersey_2013,42550,2013-05-10_rav_lesson_sicha-al-hashivut-itasfut,4,19891,11,9264
8096,congress_usa_new-jersey_2013,42551,2013-05-10_rav_lesson_congress_n1,4,19890,11,9264
8096,congress_usa_new-jersey_2013,42552,2013-05-10_rav_program_congress_sadna-1,1,26623,11,10906
8096,congress_usa_new-jersey_2013,42553,2013-05-10_rav_program_congress_sadna-sheelot-1,1,26624,11,10906
8096,congress_usa_new-jersey_2013,42554,2013-05-10_rav_lesson_congress_n2,4,19894,11,9265
8096,congress_usa_new-jersey_2013,42555,2013-05-10_norav_program_congress_yeshivat-haverim-1,1,26625,18,10906
8096,congress_usa_new-jersey_2013,42556,2013-05-10_norav_program_congress_erev-tarbut-1,1,26626,28,10906
8096,congress_usa_new-jersey_2013,42557,2013-05-10_rav_lesson_congress_n3,4,19893,11,9265
8096,congress_usa_new-jersey_2013,42558,2013-05-10_rav_program_congress_sadna-2,1,26627,11,10906
8096,congress_usa_new-jersey_2013,42559,2013-05-10_rav_lesson_congress_n4,4,19892,11,9265
8096,congress_usa_new-jersey_2013,42560,2013-05-10_rav_program_congress_sadna-sheelot-3,1,26628,11,10906
8096,congress_usa_new-jersey_2013,42561,2013-05-10_rav_program_congress_sadna-3,1,26629,11,10906
8096,congress_usa_new-jersey_2013,42562,2013-05-10_rav_program_congress_sadna-sheelot-2,1,26630,11,10906
8096,congress_usa_new-jersey_2013,42563,2013-05-10_rav_lesson_congress_n5,4,26631,11,10906
8096,congress_usa_new-jersey_2013,42566,2013-05-10_norav_program_congress_erev-tarbut-2,1,26632,28,10906
8096,congress_usa_new-jersey_2013,42567,2013-05-10_rav_lesson_congress_n6,4,19895,11,9266
8096,congress_usa_new-jersey_2013,42568,2013-05-10_rav_program_congress_sadna-4,1,26633,11,10906
8096,congress_usa_new-jersey_2013,42569,2013-05-10_rav_program_congress_sadna-sheelot-4,1,26634,11,10906
8098,congress_usa_new-jersey_2015,58971,2015-07-24_norav_program_congress_n2,1,26988,21,10847
8098,congress_usa_new-jersey_2015,58394,2015-07-15_rav_lesson_achana-le-kensim,4,22792,11,10008
8098,congress_usa_new-jersey_2015,58303,2015-07-10_rav_lesson_achana-le-knasim,4,22777,11,10004
8098,congress_usa_new-jersey_2015,58329,2015-07-12_rav_lesson_achana-le-knasim,4,22782,11,10005
8098,congress_usa_new-jersey_2015,58481,2015-07-24_norav_program_congress_yeshivat-haverim-0,1,26989,18,10847
8098,congress_usa_new-jersey_2015,58357,2015-07-13_rav_lesson_achana-le-knasim,4,22786,11,10006
8098,congress_usa_new-jersey_2015,58379,2015-07-14_rav_lesson_achana-le-knasim,4,22788,11,10007
8098,congress_usa_new-jersey_2015,58148,2015-07-03_rav_lesson_achana-le-knasim,4,22743,11,9998
8098,congress_usa_new-jersey_2015,58476,2015-07-24_norav_program_congress_achana-0,1,26990,11,10847
8098,congress_usa_new-jersey_2015,58150,2015-07-03_rav_lesson_achana-le-knasim-shiur-1,4,22744,11,9998
8098,congress_usa_new-jersey_2015,58480,2015-07-24_rav_lesson_congress_n0,4,22805,11,10013
8098,congress_usa_new-jersey_2015,58351,2015-07-12_rav_lesson_achana-le-knasim-2,4,22784,11,10005
8098,congress_usa_new-jersey_2015,58482,2015-07-24_rav_lesson_congress_n1,4,22808,11,10013
8098,congress_usa_new-jersey_2015,58485,2015-07-24_norav_program_congress_yeshivat-haverim-1,1,26991,18,10847
8098,congress_usa_new-jersey_2015,58484,2015-07-24_rav_lesson_congress_n2,4,22804,11,10013
8098,congress_usa_new-jersey_2015,58486,2015-07-24_norav_program_congress_yeshivat-haverim-2,1,26992,18,10847
8098,congress_usa_new-jersey_2015,58487,2015-07-24_rav_lesson_congress_n3,4,22806,11,10013
8098,congress_usa_new-jersey_2015,58490,2015-07-24_norav_program_congress_yeshivat-haverim-3,1,26993,18,10847
8098,congress_usa_new-jersey_2015,58491,2015-07-24_rav_lesson_congress_n4,4,22810,11,10013
8098,congress_usa_new-jersey_2015,58493,2015-07-24_norav_program_congress_yeshivat-haverim-4,1,26994,18,10847
8098,congress_usa_new-jersey_2015,58492,2015-07-24_rav_lesson_congress_n5,4,22809,11,10013
8098,congress_usa_new-jersey_2015,58494,2015-07-24_norav_program_congress_yeshivat-haverim-5,1,26995,18,10847
8098,congress_usa_new-jersey_2015,58496,2015-07-24_rav_lesson_congress_n6,4,22807,11,10013
8098,congress_usa_new-jersey_2015,58497,2015-07-24_norav_program_congress_yeshivat-haverim-6,1,26996,18,10847
8098,congress_usa_new-jersey_2015,58499,2015-07-24_rav_lesson_congress_n7,4,22811,11,10013
8098,congress_usa_new-jersey_2015,58500,2015-07-24_norav_program_congress_yeshivat-haverim-7,1,26997,18,10847
8099,congress_usa_new-jersey_2016,63540,2016-05-01_rav_program_sihot_kenes-america,1,26601,20,10920
8099,congress_usa_new-jersey_2016,63759,2016-05-19_rav_lesson_congress_n01,4,24165,11,10261
8099,congress_usa_new-jersey_2016,63815,2016-05-23_rav_lesson_rb-dargot-sulam-024-ikar-ma-haser,4,24144,11,10254
8099,congress_usa_new-jersey_2016,63403,2016-04-21_rav_lesson_rb-1984-04-ish-et-reehu,4,24025,11,10233
8099,congress_usa_new-jersey_2016,63902,2016-05-26_rav_lesson_bs-shamati-211-ke-omed,4,24148,11,10257
8099,congress_usa_new-jersey_2016,63688,2016-05-13_rav_lesson_achana-le-kenes,4,24127,11,10250
8099,congress_usa_new-jersey_2016,63702,2016-05-15_rav_lesson_achana-le-kenes_4,4,24135,11,10251
8099,congress_usa_new-jersey_2016,63721,2016-05-16_rav_lesson_achana-le-kenes_5,4,24139,11,10252
8099,congress_usa_new-jersey_2016,63741,2016-05-18_rav_lesson_shiur-achana-le-kenes_6,4,24146,11,10255
8099,congress_usa_new-jersey_2016,63769,2016-05-20_norav_program_congress_yeshivat-haverim-0,1,26602,18,10920
8099,congress_usa_new-jersey_2016,63742,2016-05-18_rav_lesson_shiur-achana-le-kenes_7,4,24145,11,10255
8099,congress_usa_new-jersey_2016,63768,2016-05-20_rav_lesson_congress_n02,4,24168,11,10261
8099,congress_usa_new-jersey_2016,63770,2016-05-20_norav_program_congress_yeshivat-haverim-1,1,26603,18,10920
8099,congress_usa_new-jersey_2016,63772,2016-05-20_rav_lesson_congress_n1,4,24169,11,10261
8099,congress_usa_new-jersey_2016,63692,2016-05-13_rav_lesson_achana-le-kenes_1,4,24130,11,10250
8099,congress_usa_new-jersey_2016,63773,2016-05-20_norav_program_congress_yeshivat-haverim-2,1,26604,18,10920
8099,congress_usa_new-jersey_2016,63774,2016-05-20_rav_lesson_congress_n2,4,24173,11,10261
8099,congress_usa_new-jersey_2016,63697,2016-05-13_rav_lesson_achana-le-kenes_3,4,24126,11,10250
8099,congress_usa_new-jersey_2016,63775,2016-05-20_norav_program_congress_yeshivat-haverim-3,1,26605,18,10920
8099,congress_usa_new-jersey_2016,63776,2016-05-20_rav_lesson_congress_n3,4,24166,11,10261
8099,congress_usa_new-jersey_2016,63698,2016-05-13_rav_lesson_achana-le-kenes_4,4,24124,11,10250
8099,congress_usa_new-jersey_2016,63779,2016-05-20_norav_program_congress_yeshivat-haverim-4,1,26606,18,10920
8099,congress_usa_new-jersey_2016,63699,2016-05-13_rav_lesson_sheelot-al-kenes-amerika,4,24122,11,10250
8099,congress_usa_new-jersey_2016,63780,2016-05-20_rav_lesson_congress_n4,4,24172,11,10261
8099,congress_usa_new-jersey_2016,63781,2016-05-20_norav_program_congress_yeshivat-haverim-5,1,26607,18,10920
8099,congress_usa_new-jersey_2016,63782,2016-05-20_rav_lesson_congress_n5,4,24170,11,10261
8099,congress_usa_new-jersey_2016,63786,2016-05-20_norav_program_congress_yeshivat-haverim-6,1,26608,18,10920
8099,congress_usa_new-jersey_2016,63783,2016-05-20_rav_lesson_congress_n6,4,24167,11,10261
8099,congress_usa_new-jersey_2016,63787,2016-05-20_norav_program_congress_yeshivat-haverim-7,1,26609,18,10920
8099,congress_usa_new-jersey_2016,63814,2016-05-20_rav_lesson_congress_n7,4,24171,11,10261
8099,congress_usa_new-jersey_2016,63817,2016-05-20_norav_program_congress_yeshivat-haverim-8,1,26610,18,10920
8110,congress_israel_haolami_2010-02,22144,spa-bb-hoveret_zohar-laam_le-kenes,4,15139,11,7092
8110,congress_israel_haolami_2010-02,22146,2010-02-22_xx_heb_rav_lesson_congress-2010_n1,4,13991,11,6547
8110,congress_israel_haolami_2010-02,22147,2010-02-22_xx_mlt_rav_program_congress-2010_eshivat-haverim_n1,1,27030,18,10899
8110,congress_israel_haolami_2010-02,22148,2010-02-22_xx_heb_rav_lesson_congress-2010_n2,4,13992,11,6547
8110,congress_israel_haolami_2010-02,22149,2010-02-22_xx_heb_norav_program_congress-2010_erev-tarbut_n1,1,27031,28,10899
8110,congress_israel_haolami_2010-02,22150,2010-02-22_xx_heb_rav_lesson_congress-2010_n3,4,13993,11,6548
8110,congress_israel_haolami_2010-02,22151,2010-02-22_heb_rav_congress-2010_pritzot,4,13994,11,6549
8110,congress_israel_haolami_2010-02,22152,2010-02-23_xx_heb_rav_lesson_congress-2010_n4,4,13995,11,6550
8110,congress_israel_haolami_2010-02,22153,2010-02-23_xx_mlt_rav_program_congress-2010_mazeget-afaza,1,27032,28,10899
8110,congress_israel_haolami_2010-02,22154,2010-02-23_xx_mlt_rav_program_congress-2010_yeshivat-haverim_n2,1,27033,18,10899
8110,congress_israel_haolami_2010-02,22155,2010-02-23_xx_heb_rav_program_congress-2010_presentation-66,1,27034,28,10899
8110,congress_israel_haolami_2010-02,22156,2010-02-23_xx_heb_rav_lesson_congress-2010_n5,4,13996,11,6550
8110,congress_israel_haolami_2010-02,22157,2010-02-23_xx_heb_rav_lesson_congress-2010_n6,4,13997,11,6551
8110,congress_israel_haolami_2010-02,22158,2010-02-23_xx_heb_norav_program_congress-2010_erev-tarbut_n2,1,27035,28,10899
8110,congress_israel_haolami_2010-02,22159,2010-02-24_xx_heb_rav_lesson_congress-2010_n7,4,13999,11,6553
8110,congress_israel_haolami_2010-02,22160,2010-02-24_xx_mlt_norav_program_congress-2010_yeshivat-haverim_n3,1,27036,18,10899
8110,congress_israel_haolami_2010-02,22161,2010-02-24_xx_heb_norav_program_congress-2010_mazeget-campus,1,27037,28,10899
8110,congress_israel_haolami_2010-02,22162,2010-02-24_xx_heb_rav_lesson_congress-2010_n8,4,14000,11,6553
8110,congress_israel_haolami_2010-02,22163,2010-02-24_xx_heb_rav_lesson_congress-2010_n9,4,14001,11,6554
8110,congress_israel_haolami_2010-02,22164,2010-02-24_xx_heb_norav_program_congress-2010_erev-tarbut_n3,1,27038,28,10899
8110,congress_israel_haolami_2010-02,22165,2010-02-23_heb_rav_congress-2010_pritzot,4,13998,11,6552
8110,congress_israel_haolami_2010-02,22203,2010-02-09_rus_norav_promo_congress-2010_zohar_hol,4,13936,11,6526
8110,congress_israel_haolami_2010-02,22279,2010-02-22_heb_norav_program_congress-2010_hofaa_duhin,1,27039,28,10899
8110,congress_israel_haolami_2010-02,22557,2010-02-24_heb_norav_program_congress-2010_hofaa-dor-aharon,1,27040,28,10899
8051,congress_lithuania_2014,31905,2012-03-23_heb_rav_lesson_congress_n1,4,17545,11,8137
8051,congress_lithuania_2014,31906,2012-03-23_heb_rav_lesson_congress_n2,4,17546,11,8137
8051,congress_lithuania_2014,31907,2012-03-24_heb_rav_lesson_congress_n3,4,17547,11,8138
8051,congress_lithuania_2014,31909,2012-03-24_heb_rav_lesson_congress_n4,4,17548,11,8138
8051,congress_lithuania_2014,31910,2012-03-24_heb_rav_program_congress_sadna-n2,1,26657,11,10863
8051,congress_lithuania_2014,31911,2012-03-23_heb_rav_program_congress_sadna-n1,1,26658,11,10863
8051,congress_lithuania_2014,31912,2012-03-24_heb_rav_program_congress_sadna-n3,1,26659,11,10863
8051,congress_lithuania_2014,31915,2012-03-25_heb_rav_lesson_congress_n5,4,17549,11,8139
8051,congress_lithuania_2014,31918,2012-03-25_heb_rav_program_congress_sadna-n4,1,26660,11,10863
8051,congress_lithuania_2014,31931,2012-03-26_heb_rav_lesson_sheelot-al-kenes,4,17553,11,8140
8051,congress_lithuania_2014,36343,2012-03-22_heb_rav_lesson_congress_n0,4,26661,11,10863
8028,congress_brasil_2012,32140,2012-04-09_heb_rav_lesson_sheelot-kenes-brazil,4,17618,11,8164
8028,congress_brasil_2012,32610,2012-05-03_heb_rav_lesson_rb-shamati-008-evdel-bein-tzel,4,17715,11,8202
8028,congress_brasil_2012,32636,2012-05-04_heb_rav_lesson_congress_n1,4,17717,11,8203
8028,congress_brasil_2012,32638,2012-05-05_heb_rav_lesson_congress_n2,4,17719,11,8204
8028,congress_brasil_2012,32639,2012-05-05_heb_rav_program_congress_sadna-2,1,27012,11,10857
8028,congress_brasil_2012,32640,2012-05-05_heb_rav_lesson_congress_n3,4,17718,11,8204
8028,congress_brasil_2012,32641,2012-05-05_heb_rav_program_congress_sadna-3,1,27013,11,10857
8028,congress_brasil_2012,32642,2012-05-04_heb_norav_program_congress_sadna-1,1,27014,11,10857
8028,congress_brasil_2012,32643,2012-05-05_heb_rav_lesson_congress_n4,4,17720,11,8205
8028,congress_brasil_2012,32644,2012-05-06_heb_rav_program_congress_sadna-4,1,27015,11,10857
8028,congress_brasil_2012,32645,2012-05-06_heb_rav_program_congress_sadna-5,1,27016,11,10857
8028,congress_brasil_2012,32651,2012-05-06_heb_rav_lesson_congress_n5,4,17721,11,8206
8028,congress_brasil_2012,32652,2012-05-06_heb_rav_program_congress_sadna-6,1,27017,11,10857
8028,congress_brasil_2012,33104,2012-05-06_heb_norav_program_congress_erev-tarbut,1,27018,28,10857
8028,congress_brasil_2012,33105,2012-05-05_heb_rav_program_congress_erev-tarbut,1,27019,28,10857
8061,congress_bulgaria_2013,46155,2013-10-27_norav_program_sadna_congress-bulgaria,1,26496,11,10900
8061,congress_bulgaria_2013,46165,2013-10-27_norav_program_mitkonenim-lekenes_bulgaria,1,31094,20,10578
8061,congress_bulgaria_2013,46166,2013-10-24_rav_program_sihot_kenes-bulgaria,1,30949,20,10619
8061,congress_bulgaria_2013,46213,2013-11-01_rav_program_congress_pticha,1,26497,28,10900
8061,congress_bulgaria_2013,46214,2013-11-01_norav_program_congress_sadna-1,1,26498,11,10900
8061,congress_bulgaria_2013,46215,2013-11-01_rav_lesson_congress_n1,4,20450,11,9442
8061,congress_bulgaria_2013,46216,2013-11-01_rav_program_congress_sadna-2,1,26499,11,10900
8061,congress_bulgaria_2013,46217,2013-11-01_rav_lesson_congress_n2,4,20451,11,9442
8061,congress_bulgaria_2013,46219,2013-11-01_rav_lesson_congress_n3,4,20452,11,9443
8061,congress_bulgaria_2013,46220,2013-11-01_rav_lesson_congress_n4,4,20453,11,9444
8061,congress_bulgaria_2013,46221,2013-11-01_norav_program_congress_sadna-4,1,26500,11,10900
8061,congress_bulgaria_2013,46222,2013-11-01_norav_program_congress_sadna-3,1,26501,11,10900
8061,congress_bulgaria_2013,46223,2013-11-01_norav_program_congress_yeshivat-haverim-2,1,26502,18,10900
8061,congress_bulgaria_2013,46224,2013-11-01_norav_program_congress_yeshivat-haverim-1,1,26503,18,10900
8061,congress_bulgaria_2013,46225,2013-11-01_rav_program_congress_sadna-5,1,26504,11,10900
8061,congress_bulgaria_2013,46226,2013-11-01_norav_program_congress_yeshivat-haverim-3,1,26505,18,10900
8061,congress_bulgaria_2013,46227,2013-11-01_norav_program_congress_sadna-6,1,26506,11,10900
8061,congress_bulgaria_2013,46234,2013-11-01_norav_program_congress_yeshivat-haverim-4,1,26507,18,10900
8061,congress_bulgaria_2013,46235,2013-11-01_rav_lesson_congress_n5,4,20454,11,9445
8061,congress_bulgaria_2013,46236,2013-11-01_rav_program_congress_sadna-7,1,26508,11,10900
8061,congress_bulgaria_2013,46237,2013-11-01_rav_program_congress_sadna-8,1,26509,11,10900
8113,congress_israel_haolami_2014,47347,2013-12-30_rav_lesson_achana-le-kenes,4,20689,11,9517
8113,congress_israel_haolami_2014,47363,2013-12-31_rav_lesson_achana-le-kenes,4,20692,11,9518
8113,congress_israel_haolami_2014,47372,2014-01-01_rav_lesson_achana-le-kenes,4,20694,11,9519
8113,congress_israel_haolami_2014,47424,2014-01-03_rav_lesson_sheelot-al-knasim,4,20706,11,9522
8113,congress_israel_haolami_2014,47427,2014-01-03_rav_program_sadna_achana-le-kenes,1,26813,11,10854
8113,congress_israel_haolami_2014,47558,2014-01-07_rav_lesson_achana-le-kenes,4,20719,11,9527
8113,congress_israel_haolami_2014,47581,2014-01-08_rav_lesson_achana-le-kenes,4,20723,11,9528
8113,congress_israel_haolami_2014,47584,2014-01-08_rav_lesson_achana-le-kenes-2,4,20721,11,9528
8113,congress_israel_haolami_2014,47747,2014-01-09_rav_lesson_achana-le-kenes-2,4,20730,11,9530
