catalog_id,catalog,container_id,container,type_id,content_type,event_part_type
8042,congress_germany_2009,19073,2009-06-21_xx_mlt_norav_misc_berlin_congress-erev-tarbut,4,EVENT_PART,EREV_TARBUT
8112,congress_israel_haolami_2011,30387,2011-12-04_heb_norav_program_congress_yeshivat-haverim,1,FRIENDS_GATHERING,
8112,congress_israel_haolami_2011,30389,2011-12-06_heb_norav_program_congress_hofaa-kavemtzai,1,EVENT_PART,EVENT
8112,congress_israel_haolami_2011,30390,2011-12-06_heb_norav_program_congress_hofaa-vgru,1,EVENT_PART,EVENT
8112,congress_israel_haolami_2011,30391,2011-12-06_heb_rav_program_congress_tekes-ptiha,1,EVENT_PART,TEKES_PTIHA
8112,congress_israel_haolami_2011,30393,2011-12-06_heb_norav_program_congress_presentation,1,EVENT_PART,ATZAGAT_PROEKT
8112,congress_israel_haolami_2011,30394,2011-12-06_heb_norav_program_congress_hofaa-motimor,1,EVENT_PART,EVENT
8112,congress_israel_haolami_2011,30397,2011-12-06_heb_norav_program_congress_hofaa-zhalaf,1,EVENT_PART,EVENT
8112,congress_israel_haolami_2011,30399,2011-12-07_heb_rav_program_congress_presentation-hinuh,1,EVENT_PART,ATZAGAT_PROEKT
8112,congress_israel_haolami_2011,30400,2011-12-07_heb_norav_program_congress_hofaa-sbreitman,1,EVENT_PART,EVENT
8112,congress_israel_haolami_2011,30403,2011-12-07_heb_norav_program_congress_yeshivat-haverim,1,FRIENDS_GATHERING,
8112,congress_israel_haolami_2011,30406,2011-12-07_heb_norav_program_congress_hofaa-doraharon,1,EVENT_PART,EVENT
8112,congress_israel_haolami_2011,30408,2011-12-07_heb_rav_program_congress_hofaa-duhin,1,EVENT_PART,EVENT
8112,congress_israel_haolami_2011,30410,2011-12-08_heb_norav_program_congress_yeshivat-haverim,1,FRIENDS_GATHERING,
8112,congress_israel_haolami_2011,30411,2011-12-08_heb_norav_program_congress_yeshivat-haverim-3,1,FRIENDS_GATHERING,
8112,congress_israel_haolami_2011,30412,2011-12-08_heb_norav_program_congress_karnaval-hibur,1,EVENT_PART,EVENT
8112,congress_israel_haolami_2011,30414,2011-12-08_heb_rav_program_congress_tekes-sium,1,EVENT_PART,TEKES_SIYUM
8112,congress_israel_haolami_2011,30511,2011-12-05_heb_norav_clip_congress_netzotzot,2,CLIP,
8112,congress_israel_haolami_2011,30562,2011-12-08_heb_rav_clip_congress_habahir,2,CLIP,
8112,congress_israel_haolami_2011,30746,2011-12-07_heb_norav_program_congress_hofaa-set-doraharon,1,EVENT_PART,EVENT
8112,congress_israel_haolami_2011,31111,2011-12-08_heb_norav_program_congress_hofaa-motimor,1,EVENT_PART,EVENT
8061,congress_bulgaria_2013,46155,2013-10-27_norav_program_sadna_congress-bulgaria,1,LESSON_PART,
8061,congress_bulgaria_2013,46213,2013-11-01_rav_program_congress_pticha,1,EVENT_PART,TEKES_PTIHA
8061,congress_bulgaria_2013,46214,2013-11-01_norav_program_congress_sadna-1,1,LESSON_PART,
8061,congress_bulgaria_2013,46216,2013-11-01_rav_program_congress_sadna-2,1,LESSON_PART,
8061,congress_bulgaria_2013,46221,2013-11-01_norav_program_congress_sadna-4,1,LESSON_PART,
8061,congress_bulgaria_2013,46222,2013-11-01_norav_program_congress_sadna-3,1,LESSON_PART,
8061,congress_bulgaria_2013,46223,2013-11-01_norav_program_congress_yeshivat-haverim-2,1,FRIENDS_GATHERING,
8061,congress_bulgaria_2013,46224,2013-11-01_norav_program_congress_yeshivat-haverim-1,1,FRIENDS_GATHERING,
8061,congress_bulgaria_2013,46225,2013-11-01_rav_program_congress_sadna-5,1,LESSON_PART,
8061,congress_bulgaria_2013,46226,2013-11-01_norav_program_congress_yeshivat-haverim-3,1,FRIENDS_GATHERING,
8061,congress_bulgaria_2013,46227,2013-11-01_norav_program_congress_sadna-6,1,LESSON_PART,
8061,congress_bulgaria_2013,46234,2013-11-01_norav_program_congress_yeshivat-haverim-4,1,FRIENDS_GATHERING,
8061,congress_bulgaria_2013,46236,2013-11-01_rav_program_congress_sadna-7,1,LESSON_PART,
8061,congress_bulgaria_2013,46237,2013-11-01_rav_program_congress_sadna-8,1,LESSON_PART,
4789,congress_usa_virtual_2013,46369,2013-11-10_rav_program_sihot_congress-one-america,1,VIDEO_PROGRAM_CHAPTER,
4789,congress_usa_virtual_2013,46437,2013-11-16_norav_program_congress_yeshivat-haverim-1,1,FRIENDS_GATHERING,
4789,congress_usa_virtual_2013,46439,2013-11-16_rav_program_congress_sadna-1,1,LESSON_PART,
4789,congress_usa_virtual_2013,46442,2013-11-16_norav_program_congress_yeshivat-haverim-2,1,FRIENDS_GATHERING,
4789,congress_usa_virtual_2013,46444,2013-11-16_rav_program_congress_sadna-2,1,LESSON_PART,
4789,congress_usa_virtual_2013,46445,2013-11-16_norav_program_congress_yeshivat-haverim-3,1,FRIENDS_GATHERING,
4789,congress_usa_virtual_2013,46447,2013-11-16_norav_program_congress_yeshivat-haverim-4,1,FRIENDS_GATHERING,
