catalog.id,catalog.parent_id,containers.count,containers.ids
3668,3624,14,"{15151,15152,15153,15154,15155,15156,15157,15167,15168,16003,16421,16422,23171,25225}"
3711,3624,10,"{15216,15217,15218,15219,15220,15221,15622,16133,16754,22505}"
3712,3624,11,"{15623,15624,15625,15626,15684,16426,16427,16428,16429,16430,16431}"
3713,3624,3,"{15627,15628,15629}"
3714,3624,4,"{15630,17934,17935,17937}"
3839,3624,2,"{16103,16291}"
3847,3624,1,{16315}
3848,3624,1,{16319}
3852,3624,1,{16358}
3853,3624,1,{16375}
3913,3624,1,{17938}
3998,3624,211,"{19946,20000,20013,20019,20036,20047,20060,20082,20106,20123,20156,20179,20198,20209,20226,20251,20275,20287,20310,20338,20417,20433,20457,20470,20488,20496,20546,20547,20567,20581,20608,20626,20642,20675,20717,20723,20733,20747,20762,20777,20792,20813,20861,20870,20895,20908,20924,20948,20968,20985,21034,21045,21060,21079,21080,21089,21111,21134,21148,21158,21169,21201,21202,21214,21235,21257,21271,21296,21324,21342,21357,21380,21391,21402,21416,21424,21433,21443,21468,21480,21493,21509,21513,21532,21542,21548,21560,21571,21580,21598,21609,21623,21643,21666,21686,21695,21715,21723,21740,21759,21776,21907,21920,21955,22008,22024,22035,22048,22061,22068,22081,22112,22115,22176,22194,22206,22237,22250,22268,22290,22301,22319,22339,22362,22381,22392,22407,22427,22451,22469,22480,22507,22509,22529,22538,22570,22590,22627,22639,22659,22674,22682,22693,22708,22729,22753,22772,22807,22811,22812,22832,22853,22875,22886,22903,22969,22970,22971,22977,23011,23012,23022,23023,23053,23067,23100,23101,23102,23126,23154,23207,23208,23209,23243,23272,23273,23385,23386,23387,23388,23451,23452,23453,23454,23456,23588,23589,23590,23591,23668,23669,23682,23683,23699,23760,23761,23762,23775,23789,23810,23819,23867,23868,23921,23922,23992,24059,24060,24061,24167,24168}"
3999,3624,39,"{20562,20637,20638,21252,21253,21254,21255,21313,21317,21318,21319,21412,21413,21414,21415,21656,21657,21658,21659,21660,21661,21662,21663,21950,21951,21952,22310,22311,22312,22313,22314,22315,22794,22795,22796,22871,23013,35109,35113}"
7861,3624,55,"{54995,55486,55487,55708,55750,55854,55899,56228,56247,56379,56388,56498,56692,56779,56857,56968,57045,57121,57660,57661,57743,57968,58097,58248,58410,58488,58489,58722,58886,59015,59159,59288,59455,59675,59941,60044,60257,60376,60519,60668,60794,60987,61137,61282,61418,61527,61613,61771,61853,61970,62118,62250,62360,62490,62545}"
