Level,Position,Type,Name,Description,Pattern,en.name,en.description,he.name,he.description,ru.name,ru.description,de.name,de.description,es.name,es.description,tr.name,tr.description,ua.name,ua.description
1,,ARTICLE,Akdama Pticha,,bs-akdama-pticha,Introduction to the Preface to the Wisdom of Kabbalah,,הקדמה לפתיחה לחכמת הקבלה,,Предисловие к Птихе,,Einleitung zur Einführung in die Weisheit der Kabbala,,Introducción al Prefacio de la Sabiduría de la Cabalá,,Kabala Bilgeliğine Önsöz'e Giriş,,Передмова до Птіхи,
1,,ARTICLE,Akdama Zohar,,bs-akdama-zohar,Introduction to The Book of Zohar,,הקדמה לספר הזוהר,,Предисловие к Книге Зоар,,Einführung in den Sohar,,Introducción al Zohar,,Kabala Bilgeliğine Giriş,,Передмова до Книги Зоар,
1,,ARTICLE,Akdama Pi Hacham,,bs-akdama-pi-hacham,Introduction to the Book From the Mouth of a Sage,,הקדמה לפי חכם,,Предисловие к книге Уста мудрого,,"Vorwort zum Buch ""Mund des Weisen""",,Introducción al libro de la Boca de un Sabio,,Bilge Bir Adamın Ağzından Kitaba Giriş,,Передмова до книги Уста мудрого,
1,,ARTICLE,Akdama TES,,bs-akdama-tes,Introduction to The Study of the Ten Sefirot,,"הקדמה לתע""ס",,Предисловие к ТЭС,,Einführung zu Talmud Esser HaSfirot,,Introducción al Talmud Esser Sefirot (TES),,On Sefirot'un Çalışılmasına Giriş,,Передмова до ТЕС,
1,,ARTICLE,Akdama Panim Meirot,,bs-akdama-panim-meirot,"Introduction to the Book, Panim Meirot uMasbirot",,הקדמה לספר פנים מאירות ומסבירות,,Предисловие к книге Паним Меирот,,Vorwort zum Buch Panim Meirot uMasbirot,,Introducción al libro Panim Meirot uMasbirot,,"Panim Meirot uMasbirot, Kitabına Giriş",,Передмова до книги Панім Меірот,
1,,ARTICLE,Pticha Kolelet,,bs-pticha-kolelet,General preface,,פתיחה כוללת,,Обобщающее введение,,Allgemeine Einführung in die Weisheit der Kabbala,,Prefacio General,,Genel Önsöz,,Узагальнюючий вступ,
1,,ARTICLE,Pticha,,bs-pticha,Preface to the Wisdom of Kabbalah,,פתיחה לחכמת הקבלה,,Введение в науку Каббала,,Einführung in die Weisheit der Kabbala,,Prefacio a la Sabiduría de la Cabalá,,Kabala Bilgeliğine Önsöz,,Вступ до науки кабала,
1,,ARTICLE,Pticha Pirush Sulam,,bs-pticha-pirush-sulam,Preface to the Sulam Commentary,,פתיחה לפירוש הסולם,,Введение в комментарий Сулам,,Vorwort zum Sulam Kommentar,,Prefacio al comentario Sulam,,Sulam Tefsirine Önsöz,,Вступ до коментарію Сулам,
1,,ARTICLE,Mavo Zohar,,bs-mavo-zohar,Preface to The Book of Zohar,,מבוא לספר הזוהר,,Введение в Книгу Зоар,,Vorwort zum Buch Sohar,,Prefacio al libro del Zohar,,Zohar Kitabına Önsöz,,Вступ до Книги Зоар,
1,,ARTICLE,Maamar Le Sium Zohar,,bs-maamar-le-sium-zohar,A Speech for the Completion of The Zohar,,מאמר לסיום הזהר,,Статья к завершению Книги Зоар,,Un discurso para la finalización del Zohar,,Zum Abschluss des Buches Sohar,,Zohar'ı Tamamlayıcı bir Konuşma,,Стаття до завершення Книги Зоар,
1,,ARTICLE,Akdama Pri Hacham Al Tora,,bs-akdama-pri-hacham-al-tora,Introduction to Pri Chacham - about the Torah,,הקדמה לספר פרי חכם - על התורה,,Предисловие к книге Плоды Мудрости - о Торе,,Vorwort zum Buch Früchte der Weisheit über die Tora,,Introducción al Fruto de un Sabio- sobre la Torá,,"Erdemlinin Meyveleri"" Kitabına Giri",,"Передмова до книги ""Плоди Мудрості - про Тору""",
