Level,Position,Type,Name,Description,Pattern,en.name,en.description,he.name,he.description,ru.name,ru.description,de.name,de.description,es.name,es.description,tr.name,tr.description,ua.name,ua.description
1,,ARTICLE,Igeret 5 (1921),,bs-igeret-05-1921-pg-011,Letter 5 (1921),,אגרת ה',,Письмо 5 (1921),,Brief 5 (1921),,Carta 5 (1921),,Mektup 5 (1921),,Лист 5 (1921),
1,,ARTICLE,Igeret 6 (1921),,bs-igeret-06-1921-pg-014,Letter 6 (1921),,אגרת ו',,Письмо 6 (1921),,Brief 6 (1921),,Carta 6 (1921),,Mektup 6 (1921),,Лист 6 (1921),
1,,ARTICLE,Igeret 7 (1922),,bs-igeret-07-1922-pg-017,Letter 7 (1922),,אגרת ז',,Письмо 7 (1922),,Brief 7 (1922),,Carta 7 (1922),,Mektup 7 (1922),,Лист 7 (1922),
1,,ARTICLE,Igeret 8 (1922),,bs-igeret-08-1922-pg-018,Letter 8 (1922),,אגרת ח',,Письмо 8 (1922),,Brief 8 (1922),,Carta 8 (1922),,Mektup 8 (1922),,Лист 8 (1922),
1,,ARTICLE,Igeret 1 (1920),,bs-igeret-01-1920-pg-025,Letter 1 (1920),,אגרת א',,Письмо 1 (1920),,Brief 1 (1920),,Carta 1 (1920),,Mektup 1 (1920),,Лист 1 (1920),
1,,ARTICLE,Igeret 2 (1920),,bs-igeret-02-1920-pg-030,Letter 2 (1920),,אגרת ב',,Письмо 2 (1920),,Brief 2 (1920),,Carta 2 (1920),,Mektup 2 (1920),,Лист 2 (1920),
1,,ARTICLE,Igeret 3 (1920),,bs-igeret-03-1920-pg-037,Letter 3 (1920),,אגרת ג',,Письмо 3 (1920),,Brief 3 (1920),,Carta 3 (1920),,Mektup 3 (1920),,Лист 3 (1920),
1,,ARTICLE,Igeret 9 (1923),,bs-igeret-09-1923-pg-043,Letter 9 (1923),,אגרת ט',,Письмо 9 (1923),,Brief 9 (1923),,Carta 9 (1923),,Mektup 9 (1923),,Лист 9 (1923),
1,,ARTICLE,Igeret 10 (1925),,bs-igeret-10-1925-pg-048,Letter 10 (1925),,אגרת י',,Письмо 10 (1925),,Brief 10 (1925),,Carta 10 (1925),,Mektup 10 (1925),,Лист 10 (1925),
1,,ARTICLE,Igeret 11 (1925),,bs-igeret-11-1925-pg-053,Letter 11 (1925),,"אגרת י""א",,Письмо 10 (1925),,Brief 11 (1925),,Carta 11 (1925),,Mektup 11 (1925),,Лист 10 (1925),
1,,ARTICLE,Igeret 12 (1925),,bs-igeret-12-1925-pg-055,Letter 12 (1925),,"אגרת י""ב",,Письмо 12 (1925),,Brief 12 (1925),,Carta 12 (1925),,Mektup 12 (1925),,Лист 12 (1925),
1,,ARTICLE,Igeret 13 (1925),,bs-igeret-13-1925-pg-055,Letter 13 (1925),,"אגרת י""ג",,Письмо 13 (1925),,Brief 13 (1925),,Carta 13 (1925),,Mektup 13 (1925),,Лист 13 (1925),
1,,ARTICLE,Igeret 14 (1925),,bs-igeret-14-1925-pg-057,Letter 14 (1925),,"אגרת י""ד",,Письмо 14 (1925),,Brief 14 (1925),,Carta 14 (1925),,Mektup 14 (1925),,Лист 14 (1925),
1,,ARTICLE,Igeret 15 (1925),,bs-igeret-15-1925-pg-060,Letter 15 (1925),,"אגרת ט""ו",,Письмо 15 (1925),,Brief 15 (1925),,Carta 15 (1925),,Mektup 15 (1925),,Лист 15 (1925),
1,,ARTICLE,Igeret 16 (1925),,bs-igeret-16-1925-pg-061,Letter 16 (1925),,"אגרת ט""ז",,Письмо 16 (1925),,Brief 16 (1925),,Carta 16 (1925),,Mektup 16 (1925),,Лист 16 (1925),
1,,ARTICLE,Igeret 17 (1926),,bs-igeret-17-1926-pg-063,Letter 17 (1926),,"אגרת י""ז",,Письмо 17 (1926),,Brief 17 (1926),,Carta 17 (1926),,Mektup 17 (1926),,Лист 17 (1926),
