Level,Position,Type,Name,Description,Pattern,en.name,en.description,he.name,he.description,ru.name,ru.description,de.name,de.description,es.name,es.description,tr.name,tr.description,ua.name,ua.description
1,,ARTICLE,Zadikim Ve Reshaim,,bs-zadikim-ve-reshaim,Righteous and Wicked,,צדיקים ורשעים,,Праведники и грешники,,,,,,,,,
1,,ARTICLE,Achor Ve Kedem,,bs-achor-ve-kedem,Thou Hast Hemmed Me In Behind and Before,,אחור וקדם צרתני,,Прямое и косвенное воздействие,,Von Hinten und Vorne umfaßt du mich,,Me has cercado por detrás y por delante,,Beni Önümden ve Arkamdan Sardın,,Прямий та опосередкований вплив,
1,,ARTICLE,Ahavat Ashem,,bs-ahavat-ashem,The Love for the Creator & Love for the Created Beings,,אהבת ה' ואהבת הבריות,,Любовь к Творцу и творениям,,Die Liebe zum Schöpfer und die Liebe zu Geschöpfen,,El amor por el Creador y el amor por los seres creados,,Yaratan Sevgisi ve Yaratılan Sevgisi,,Любов до Творця і творінь,
1,,ARTICLE,Binyan Hevra Atidit,,bs-binyan-hevra-atidit,Building the Future Society,,בנין החברה העתידית,,Строение общества будущего,,Aufbau der zukünftigen Gesellschaft,,Construyendo la sociedad futura,,Geleceğin Toplumunu İnşaa Etmek,,Будова  суспільства майбутнього,
1,,ARTICLE,Dalet Olamot,,bs-dalet-olamot,Four Worlds,,ד' עולמות,,Четыре мира,,,,Quatro mundos,,Dört Dünya,,Чотири світи,
1,,ARTICLE,Dor Acharon,,bs-dor-acharon,The Future Generation,,הדור האחרון,,Поколение будущего,,,,La última generación,,Gelecek Nesil,,Покоління майбутнього,
1,,ARTICLE,Et Laasot,,bs-et-laasot,Time to Act,,עת לעשות,,Время действовать,,Zeit zu handeln,,Tiempo de actuar,,Hareket Zamanı,,Час діяти,
1,,ARTICLE,Gilui Tefach,,bs-gilui-tefach,Disclosing the Secrets,,גילוי טפח וכיסוי טפחיים,,Раскрытие меры скрытие двух,,Enthüllung von einem Teil und Verhüllung von Zwei Teilen,,"Revelar una parte, cubrir dos",,Sırları İfşa Etmek,,Розкриття міри приховує дві,
1,,ARTICLE,Guf Ve Nefesh,,bs-guf-ve-nefesh,Body and Soul,,גוף ונפש,,Тело и душа,,Körper und Seele,,Cuerpo y Alma,,Beden ve Ruh,,Тіло і душа,
1,,ARTICLE,Aravut,,bs-aravut,The Mutual Guarantee,,הערבות,,Поручительство,,Die Bürgschaft,,"Arvut, La garantía mutua",,Ortak Garanti,,Порука,
1,,ARTICLE,Galut Ve Geula,,bs-galut-ve-geula,Exile and Redemption,,הגלות והגאולה,,Изгнание и oсвобождение,,Exil und Erlösung,,Exilio y Redención,,Sürgün ve Kurtuluş,,Вигнання та звільнення,
1,,ARTICLE,Homer Ve Tzura,,bs-homer-ve-tzura,Matter and Form in the Wisdom of Kabbalah,,החומר והצורה בחכמת הקבלה,,Материя и форма в Каббале,,Materie und Form in der Wissenschaft der Kabbala,,Materia y forma en la sabiduría de la Cabalá,,Kabala Bilgeliğinde Madde ve Form,,Матерія і форма в Кабалі,
1,,ARTICLE,Pitaron,,bs-pitaron,The Solution,,הפתרון,,Решение,,Die Lösung,,La solución,,Çözüm,,Розв'язок,
1,,ARTICLE,Ashalom,,bs-ashalom,The Peace,,השלום,,Мир,,Der Frieden,,La Paz,,Barış,,Мир,
1,,ARTICLE,Shalom Ba Olam,,bs-shalom-ba-olam,Peace in the World,,השלום בעולם,,Мир в мире,,Frieden in der Welt,,Paz en el mundo,,Dünya'da Barış,,Мир у світі,
1,,ARTICLE,Ester Ve Gilui 1,,bs-ester-ve-gilui-1,Concealment and Revelation-1,,"הסתר וגילוי פנים של השי""ת - א",,Скрытие и раскрытие Творца-1,,Verhüllung und Enthüllung des Angesichts des Schöpfers-1,,Ocultación y revelación del rostro del Señor-1,,Gizlilik ve İfşa-1,,Приховування та розкриття Творця-1,
1,,ARTICLE,Ester Ve Gilui 2,,bs-ester-ve-gilui-2,Concealment and Revelation-2,,"הסתר וגילוי פנים של השי""ת - ב",,Скрытие и раскрытие Творца-2,,Verhüllung und Enthüllung des Angesichts des Schöpfers-2,,Ocultación y revelación del rostro del Seño-2,,Gizlilik ve İfşa-2,,Приховування та розкриття Творця-2,
1,,ARTICLE,Kabbala Ve Filosofia,,bs-kabbala-ve-filosofia,The Wisdom of Kabbalah and Philosophy,,חכמת הקבלה והפילוסופיה,,Kаббала и философия,,Analytischer Vergleich zwischen Kabbala und Philosophie,,La sabiduría de la Cabalá y la filosofía,,Kabala Bilgeliği ve Felsefe,,Кабала та філософія,
