Level,Position,Type,Name,Description,Pattern,en.name,en.description,he.name,he.description,ru.name,ru.description,de.name,de.description,es.name,es.description,tr.name,tr.description,ua.name,ua.description
1,1,ARTICLE,001 Ein Od Milvado,,bs-shamati-001-ein-od-milvado,1. There is None Else Beside Him,,א. אין עוד מלבדו,,1. Нет никого кроме Него,,1. Es gibt nichts außer Ihm,,1. No existe nadie más que Él,,1. Ondan Başkası Yok,,1. Немає нікого крім Нього,
1,2,ARTICLE,002 Shchinta Be Galuta,,bs-shamati-002-shchinta-be-galuta,2. Divinity in Exile,,ב. ענין שכינתא בגלותא,,2. Шхина в изгнании,,2. Shechina im Exil,,2. La Shejiná en exilio,,2. Sürgündeki ilahilik,,2. Шхіна у вигнанні,
1,3,ARTICLE,003 Asaga Ruchanit,,bs-shamati-003-asaga-ruchanit,3. The Matter of Spiritual Attainment,,ג. ענין ההשגה הרוחנית,,3. Суть духовного постижения,,3. Das Wesen der spirituellen Erkenntnis,,3. Acerca del logro espiritual,,3. Manevi Edinimin Özü,,3. Суть духовного осягнення,
1,4,ARTICLE,004 Sibat Kvedut,,bs-shamati-004-sibat-kvedut,4. What Is the Reason for the Heaviness One Feels when Annulling before the Creator in the Work,,"ד. מהו סיבת הכבידות, שהאדם מרגיש בבטול לה', בעבודה",,4. Причина трудности аннулировать себя ради Творца,,"4. Was ist der Grund für die Schwere, die der Mensch in der Annullierung vor dem Schöpfer sprürt?",,4. ¿Cuál es la razón de la pesadumbre que uno siente al anularse ante el Creador durante el trabajo?,,4. Kişi çalışmada Yaratanın önünde kendini iptal ederken hissettiği ağırlığın sebebi nedir,,4. Причина важкості анулювати себе заради Творця,
1,5,ARTICLE,005 Lishma,,bs-shamati-005-lishma,"5. Lishma Is an Awakening from Above, and Why Do We Need an Awakening from Below",,ה. לשמה זהו אתערותא דלעילא. ולמה צריכים אתערותא דלתתא?,,"5. Лишма – это пробуждение свыше, и почему нужно пробуждение снизу",,"5. LiShma bedeutet Erwachen von Oben , und warum brauchen wir ein Erwachen von unten?",,"5. Lishmá es un despertar desde Arriba, y ¿por qué necesitamos un despertar desde abajo?",,5. Lişma yukarından bir uyanıştır ve neden aşağıdan bir uyanışa ihtiyacımız var,,"5. Лішма - це пробудження зверху, і чому необхідне пробудження знизу",
1,6,ARTICLE,006 Samechin Be Tora,,bs-shamati-006-samechin-be-tora,"6. What Is Support in the Torah, in the Work",,"ו. מהו סמכין בתורה, בעבודה",,"6. Помощь, которую оказывает Тора в духовной работе",,"6. Was ist ""Stütze durch die Tora"" in der Arbeit bedeutet",,6. ¿Qué significa “apoyo en la Torá” durante el trabajo?,,6. Çalışmada Toradaki destek nedir,,"6. Допомога, яку надає Тора в духовній роботі",
1,7,ARTICLE,007 Ergel Naasa,,bs-shamati-007-ergel-naasa,"7. What Is the Habit Becomes a Second Nature, in the Work",,"ז. מהו, ההרגל נעשה טבע שני, בעבודה",,"7. Что означает в работе, когда привычка становится второй натурой",,"7. Was es in der spirituellen Arbeit, wenn die Gewohnheit zur zweiten Natur wird",,7. ¿Qué quiere decir que el hábito se convierte en una segunda naturaleza?,,7. Çalışmada alışkanlık ikinci doğa olur,,"7. Що означає в роботі, коли звичка стає другою натурою",
1,8,ARTICLE,008 Evdel Bein Tzel,,bs-shamati-008-evdel-bein-tzel,8. What Is the Difference between a Shade of Kedusha and a Shade of Sitra Achra,,"ח. מהו, הבדל בין צל דקדושה לצל דס""א",,8. Разница между святой тенью и тенью клипот,,8. Was ist der Unterschied zwischen dem Schatten der Heiligkeit (Kedusha) und dem Schatten von Sitra Achra?,,8. ¿Cuál es la diferencia entre “Sombra de Kedushá” y “Sombra de Sitra Ajra”?,,8. Keduşnın gölgesi ve Sitra Ahranın gölgei arasındaki fark nedir,,8. Різниця між святою тінню і тінню кліпот,
1,9,ARTICLE,009 Gimel Dvarim,,bs-shamati-009-gimel-dvarim,9. What Are Three Things that Broaden One’s Mind in the Work,,"ט. מהו, ג' דברים שמרחיבים דעתו של אדם, בעבודה",,"9. Три причины, увеличивающие разум человека",,"9. ""Drei Dinge, die den Verstand des Menschen erweitern""",,9. ¿Cuáles son las tres cosas que amplían la mente de uno durante el trabajo?,,9. Çalışmada kişinin aklını genişleten üç şey nedir,,"9. Три причини, що збільшують розум людини",
1,10,ARTICLE,010 Brach Dodi,,bs-shamati-010-brach-dodi,"10. What Is Make Haste My Beloved, in the Work",,"י. מהו, ברח דודי, בעבודה",,"10. Что означает ""скрылся мой друг"" в духовной работе",,"10. Was bedeutet ""Mein Freund gloh"" in der spirituellen Arbeit?",,"10. ¿Qué significa “Apresúrate, amado mío”, en el trabajo?",,10. Çalışmada sevgimi ne artırır,,"10. Що означає ""сховався мій друг"" в духовній роботі",
