Level,Position,Type,Name,Description,Pattern,en.name,en.description,he.name,he.description,ru.name,ru.description,de.name,de.description,es.name,es.description,tr.name,tr.description,ua.name,ua.description
1,1,VOLUME,Vol. 1,,,Vol. 1,,כרך א',,Том 1,,Band 1,,Vol. 1,,Cilt 1,,Том 1,
2,1,PART,Part 1,,bs-tes-01,Part 1,,חלק א',צמצום וקו,Часть 1,,Teil 1,,Parte 1,,Kısım 1,,Частина 1,
2,2,PART,Part 2,,bs-tes-02,Part 2,,חלק ב',עגולים ויושר,Часть 2,,Teil 2,,Parte 2,,Kısım 2,,Частина 2,
2,3,PART,Part 3,,bs-tes-03,Part 3,,חלק ג',אור ישר ואור חוזר,Часть 3,,Teil 3,,Parte 3,,Kısım 3,,Частина 3,
2,4,PART,Part 4,,bs-tes-04,Part 4,,חלק ד',ספירות העקודים,Часть 4,,Teil 4,,Parte 4,,Kısım 4,,Частина 4,
1,2,VOLUME,Vol. 2,,,Vol. 2,,כרך ב',,Том 2,,Band 2,,Vol. 2,,Cilt 2,,Том 2,
2,1,PART,Part 5,,bs-tes-05,Part 5,,חלק ה',מטי ולא מטי,Часть 5,,Teil 5,,Parte 5,,Kısım 5,,Частина 5,
2,2,PART,Part 6,,bs-tes-06,Part 6,,חלק ו',נקודים,Часть 6,,Teil 6,,Parte 6,,Kısım 6,,Частина 6,
2,3,PART,Part 7,,bs-tes-07,Part 7,,חלק ז',ז' מלכין קדמאין,Часть 7,,Teil 7,,Parte 7,,Kısım 7,,Частина 7,
1,3,VOLUME,Vol. 3,,,Vol. 3,,כרך ג',,Том 3,,Band 3,,Vol. 3,,Cilt 3,,Том 3,
2,1,PART,Part 8,,bs-tes-08,Part 8,,חלק ח',"ע""ס האצילות",Часть 8,,Teil 8,,Parte 8,,Kısım 8,,Частина 8,
2,2,PART,Part 9,,bs-tes-09,Part 9,,חלק ט',זווגי הספירות,Часть 9,,Teil 9,,Parte 9,,Kısım 9,,Частина 9,
2,3,PART,Part 10,,bs-tes-10,Part 10,,חלק י',עיבור א',Часть 10,,Teil 10,,Parte 10,,Kısım 10,,Частина 10,
1,4,VOLUME,Vol. 4,,,Vol. 4,,כרך ד',,Том 4,,Band 4,,Vol. 4,,Cilt 4,,Том 4,
2,1,PART,Part 11,,bs-tes-11,Part 11,,"חלק י""א",אורות ניצוצין וכלים דעיבור ועיבור ב,Часть 11,,Teil 11,,Parte 11,,Kısım 11,,Частина 11,
2,2,PART,Part 12,,bs-tes-12,Part 12,,"חלק י""ב","לידה ויניקה של הז""א",Часть 12,,Teil 12,,Parte 12,,Kısım 12,,Частина 12,
1,5,VOLUME,Vol. 5,,,Vol. 5,,כרך ה',,Том 5,,Band 5,,Vol. 5,,Cilt 5,,Том 5,
2,1,PART,Part 13,,bs-tes-13,Part 13,,"חלק י""ג",תקוני רישא ודיקנא דאריך אנפין,Часть 13,,Teil 13,,Parte 13,,Kısım 13,,Частина 13,
2,2,PART,Part 14,,bs-tes-14,Part 14,,"חלק י""ד",מוחין דגדלות של זעיר אנפין,Часть 14,,Teil 14,,Parte 14,,Kısım 14,,Частина 14,
1,6,VOLUME,Vol. 6,,,Vol. 6,,כרך ו',,Том 6,,Band 6,,Vol. 6,,Cilt 6,,Том 6,
2,1,PART,Part 15,,bs-tes-15,Part 15,,"חלק ט""ו",בנין הנוקבא,Часть 15,,Teil 15,,Parte 15,,Kısım 15,,Частина 15,
2,2,PART,Part 16,,bs-tes-16,Part 16,,"חלק ט""ז","ג' עולמות בי""ע",Часть 16,,Teil 16,,Parte 16,,Kısım 16,,Частина 16,
