Level,Position,Type,Name,Description,Pattern,en.name,en.description,he.name,he.description,ru.name,ru.description,de.name,de.description,es.name,es.description,tr.name,tr.description,ua.name,ua.description
1,1,BOOK,Bereshit,,,Bereshit,,בראשית,,Берешит,,Bereschit,,Bereshit,,Yaratılış,,Берешіт,
2,1,PARASHA,Bereshit,,mr-tora-bereshit,Bereshit,,בראשית,,Берешит,,Bereschit,,Bereshit,,Yaratılış,,Берешіт,
2,2,PARASHA,Noah,,mr-tora-noah,Noah,,נח,,Ноах,,Noach,,Noaj,,Nuh,,Ноах,
2,3,PARASHA,Lech Lecha,,mr-tora-lech-lecha,Lech Lecha,,לך לך,,Лех-леха,,Lech-Lecha,,Lej Lejá,,Lek Lekha,,Лех-леха,
2,4,PARASHA,VaYera,,mr-tora-vayera,VaYera,,וירא,,Ваера,,WaJera,,Vaierá,,VaYera,,Ваєра,
2,5,PARASHA,Chayei Sarah,,mr-tora-chayeisarah,Chayei Sarah,,חיי שרה,,Хаей Сара,,Chaje Sara,,Jaiei Sará,,Hayey Sara,,Хаєй Сара,
2,6,PARASHA,Toldot,,mr-tora-toldot,Toldot,,תולדות,,Толдот,,Toldot,,Toldot,,Toldot,,Толдот,
2,7,PARASHA,VaYetze,,mr-tora-vayetze,VaYetze,,ויצא,,Ваеце,,Wajeze,,Vaietzé,,VaYetze,,Ваєце,
2,8,PARASHA,VaYishlach,,mr-tora-vayeshlah,VaYishlach,,וישלח,,Ваишлах,,Wajischlach,,Vaishlaj,,VaYislakh,,Ваїшлах,
2,9,PARASHA,VaYeshev,,mr-tora-vayeshev,VaYeshev,,וישב,,Ваешев,,Wajeschew,,Vaieshev,,VaYeşhev,,Ваєшев,
2,10,PARASHA,Miketz,,mr-tora-miketz,Miketz,,מקץ,,Микец,,Mikez,,Miketz,,Miketz,,Мікец,
2,11,PARASHA,VaYigash,,mr-tora-vayigash,VaYigash,,ויגש,,Ваигаш,,Wajigasch,,Vaigash,,VaYigaş,,Ваїгаш,
2,12,PARASHA,VaYechi,,mr-tora-vayechi,VaYechi,,ויחי,,Ваихи,,Wajechi,,Vaiejí,,VaYekhi,,Ваєхі,
1,2,BOOK,Shmot,,,Shmot,,שמות,,Шмот,,Schmot,,Shemot,,Şemot,,Шмот,
2,1,PARASHA,Shmot,,mr-tora-shmot,Shmot,,שמות,,Шмот,,Schmot,,Shemot,,Şemot,,Шмот,
2,2,PARASHA,VaEra,,mr-tora-vaera,VaEra,,וארא,,Ваира,,Wajera,,Vaerá,,Vaera,,Ваера,
2,3,PARASHA,Bo,,mr-tora-bo,Bo,,בא,,Бо,,Bo,,Bo,,Bo,,Бо,
2,4,PARASHA,BeShalach,,mr-tora-beshalach,BeShalach,,בשלח,,Бешалах,,Beschalach,,Beshalaj,,BeŞalakh,,Бешалах,
2,5,PARASHA,Yitro,,mr-tora-yitro,Yitro,,יתרו,,Итро,,Jitro/Jetro/Jethro,,Itró,,Yitro,,Їтро,
2,6,PARASHA,Mishpatim,,mr-tora-mishpatim,Mishpatim,,משפטים,,Мишпатим,,Mischpatim,,Mishpatím,,Mişpatim,,Мішпатім,
2,7,PARASHA,Truma,,mr-tora-truma,Truma,,תרומה,,Трума,,Truma,,Trumá,,Truma,,Трума,
2,8,PARASHA,Tetzaveh,,mr-tora-tetzaveh,Tetzaveh,,תצוה,,Тецавэ,,Tezawe,,Tetzavé,,Tetzaveh,,Тецаве,
2,9,PARASHA,Ki Tisa,,mr-tora-ki-tisa,Ki Tisa,,כי תשא,,Тиса,,Ki Tisa,,Ki Tisá,,Ki Tisa,,Тіса,
2,10,PARASHA,VaYakhel,,mr-tora-vayakhel,VaYakhel,,ויקהל,,Вэикаэль,,Wejakel,,Vaiakhél,,VaYakhel,,Ваякгель,
2,11,PARASHA,Pekudei,,mr-tora-pkudei,Pekudei,,פקודי,,Пкудэй,,Pekudei,,Pekudei,,Pekudey,,Пкудей,
1,3,BOOK,Vayikra,,,VaYikra,,ויקרא,,Ваикра,,Wajikra,,Vayikrá,,Vayikra,,Ваїкра,
2,1,PARASHA,VaYikra,,mr-tora-vayikra,VaYikra,,ויקרא,,Ваикра,,Wajikra,,Vayikrá,,Vayikra,,Ваїкра,
2,2,PARASHA,Tzav,,mr-tora-tzav,Tzav,,צו,,Цав,,Zaw,,Tzav,,Tzav,,Цав,
2,3,PARASHA,Shmini,,mr-tora-shmini,Shmini,,שמיני,,Шмини,,Schmini,,Shemini,,Şimini,,Шміні,
2,4,PARASHA,Tazria,,mr-tora-tazria,Tazria,,תזריע,,Тазриа,,Tasria,,Tazria,,Tazria,,Тазріа,
2,5,PARASHA,Metzora,,mr-tora-metzora,Metzora,,מצורע,,Мецора,,Mezora,,Metzorá,,Metzora,,Мецора,
2,6,PARASHA,Acharei Mot,,mr-tora-aharei-mot,Acharei Mot,,אחרי מות,,Ахарей,,Acharei Mot,,Ajaréi Mot,,Akhrey Mot,,Ахарей,
2,7,PARASHA,Kdoshim,,mr-tora-kedoshim,Kdoshim,,קדושים,,Кдошим,,Kedoschim,,Kedoshím,,Kodoşim,,Кдошім,
2,8,PARASHA,Emor,,mr-tora-emor,Emor,,אמור,,Эмор,,Emor,,Emor,,Emor,,Емор,
2,9,PARASHA,Behar,,mr-tora-behar,Behar,,בהר,,Бахар,,BaChar,,Behar,,Behar,,Бегар,
2,10,PARASHA,BeHukotai,,mr-tora-bechukotai,BeHukotai,,בחוקתי,,Бехукотай,,BeChukotai,,Bejukotái,,BeHukotay,,Бехукотай,
1,4,BOOK,Bamidbar,,,Bamidbar,,במדבר,,Бамидбар,,Bamidbar,,Bamidbar,,BaMidbar,,Бамідбар,
2,1,PARASHA,Bamidbar,,mr-tora-bamidbar,Bamidbar,,במדבר,,Бамидбар,,Bamidbar,,Bamidbar,,BaMidbar,,Бамідбар,
2,2,PARASHA,Naso,,mr-tora-naso,Naso,,נשא,,Насо,,Naso,,Nasó,,Naso,,Насо,
2,3,PARASHA,Behaalotecha,,mr-tora-bealutcha,Behaalotecha,,בהעלותך,,Баалотха,,Bechaalotcha,,Behaalotjá,,Behaalotekha,,Беалотха,
2,4,PARASHA,Shlah,,mr-tora-shlah-leha,Shlah,,שלח,,Шлах,,Schlach-Lecha,,Shlaj,,Şılah,,Шлах,
2,5,PARASHA,Korach,,mr-tora-korach,Korach,,קרח,,Корах,,Korach,,Koraj,,Korakh,,Корах,
2,6,PARASHA,Chukat,,mr-tora-chukat,Chukat,,חקת,,Хукат,,Chukat,,Jukat,,Çukat,,Хукат,
2,7,PARASHA,Balak,,mr-tora-balak,Balak,,בלק,,Балак,,Balak,,Balak,,Balak,,Балак,
2,8,PARASHA,Pinchas,,mr-tora-pinchas,Pinchas,,פנחס,,Пинхас,,Pinchas,,Pinjas,,Pinkhas,,Пінхас,
2,9,PARASHA,Matot,,mr-tora-matot,Matot,,מטות,,Матот,,Matot,,Matot,,Malot,,Матот,
2,10,PARASHA,Masei,,mr-tora-masei,Masei,,מסעי,,Масэй,,Masei,,Masei,,Masey,,Масей,
1,5,BOOK,Devarim,,,Devarim,,דברים,,Дварим,,Dwarim,,Devarím,,Devarim,,Дварім,
2,1,PARASHA,Devarim,,mr-tora-dvarim,Devarim,,דברים,,Дварим,,Dwarim,,Devarím,,Devarim,,Дварім,
2,2,PARASHA,Va'Etchanan,,mr-tora-vaetchanan,Va'Etchanan,,ואתחנן,,Вээтханан,,WaEtchanan,,Vaetjanán,,VaEtkhanan,,Ваетханан,
2,3,PARASHA,Ekev,,mr-tora-ekev,Ekev,,עקב,,Экев,,Ekev,,Ekev,,Ekev,,Екев,
2,4,PARASHA,Re'eh,,mr-tora-reeh,Re'eh,,ראה,,Рээ,,Re-e,,Ree,,Re'eh,,Рее,
2,5,PARASHA,Shoftim,,mr-tora-shoftim,Shoftim,,שופטים,,Шофтим,,Schoftim,,Shoftím,,Şoftim,,Шофтім,
2,6,PARASHA,Ki Tetze,,mr-tora-ki-tetze,Ki Tetze,,כי תצא,,Ки Тецэ,,Ki Teze,,Ki Tetzé,,Ki Tetze,,Кі Теце,
2,7,PARASHA,Ki Tavo,,mr-tora-ki-tavo,Ki Tavo,,כי תבוא,,Таво,,Ki Tawo,,Ki Tavó,,Ki Tavo,,Кі Таво,
2,8,PARASHA,Nitzavim,,mr-tora-nitzavim,Nitzavim,,נצבים,,Ницавим,,Nizavim,,Nitzavim,,Nitzavim,,Ніцавім,
2,9,PARASHA,VaYelech,,mr-tora-veileh,VaYelech,,וילך,,Ваелех,,Wajelech,,Vaiélej,,VaYelekh,,Ваєлех,
2,10,PARASHA,Haazinu,,mr-tora-haazinu,Haazinu,,האזינו,,Азину,,HaAsinu,,Haazinu,,Hazinu,,Гаазіну,
2,11,PARASHA,Ve Zot HaBracha,,mr-tora-zot-a-braha,Ve Zot HaBracha,,וזאת הברכה,,Вэзот абраха,,Wesot HaBracha,,Vezot Habrajá,,Ve Zot HaBrakha,,Ве-зот а-Браха,
