Level,Position,Type,Name,Description,Pattern,en.name,en.description,he.name,he.description,ru.name,ru.description,de.name,de.description,es.name,es.description,tr.name,tr.description,ua.name,ua.description
1,1,ARTICLE,Igeret 01,,rb-igeret-01,Letter 1,,אגרת א',,Письмо 1,,Brief 1,,Carta 1,,Mektup 1,,Лист 1,
1,2,ARTICLE,Igeret 02,,rb-igeret-02,Letter 2,,אגרת ב',,Письмо 2,,Brief 2,,Carta 2,,Mektup 2,,Лист 2,
1,3,ARTICLE,Igeret 03,,rb-igeret-03,Letter 3,,אגרת ג',,Письмо 3,,Brief 3,,Carta 3,,Mektup 3,,Лист 3,
1,4,ARTICLE,Igeret 04,,rb-igeret-04,Letter 4,,אגרת ד',,Письмо 4,,Brief 4,,Carta 4,,Mektup 4,,Лист 4,
1,5,ARTICLE,Igeret 05,,rb-igeret-05,Letter 5,,אגרת ה',,Письмо 5,,Brief 5,,Carta 5,,Mektup 5,,Лист 5,
1,6,ARTICLE,Igeret 06,,rb-igeret-06,Letter 6,,אגרת ו',,Письмо 6,,Brief 6,,Carta 6,,Mektup 6,,Лист 6,
1,7,ARTICLE,Igeret 07,,rb-igeret-07,Letter 7,,אגרת ז',,Письмо 7,,Brief 7,,Carta 7,,Mektup 7,,Лист 7,
1,8,ARTICLE,Igeret 08,,rb-igeret-08,Letter 8,,אגרת ח',,Письмо 8,,Brief 8,,Carta 8,,Mektup 8,,Лист 8,
1,9,ARTICLE,Igeret 09,,rb-igeret-09,Letter 9,,אגרת ט',,Письмо 9,,Brief 9,,Carta 9,,Mektup 9,,Лист 9,
1,10,ARTICLE,Igeret 10,,rb-igeret-10,Letter 10,,אגרת י',,Письмо 10,,Brief 10,,Carta 10,,Mektup 10,,Лист 10,
1,11,ARTICLE,Igeret 11,,rb-igeret-11,Letter 11,,"אגרת י""א",,Письмо 11,,Brief 11,,Carta 11,,Mektup 11,,Лист 11,
1,12,ARTICLE,Igeret 12-1,,rb-igeret-12,Letter 12-1,,"אגרת י""ב/א",,Письмо 12-1,,Brief 12-1,,Carta 12-1,,Mektup 12-1,,Лист 12-1,
1,13,ARTICLE,Igeret 12-2,,rb-igeret-12-2,Letter 12-2,,"אגרת י""ב/ב",,Письмо 12-2,,Brief 12-2,,Carta 12-2,,Mektup 12-2,,Лист 12-2,
1,14,ARTICLE,Igeret 13,,rb-igeret-13,Letter 13,,"אגרת י""ג",,Письмо 13,,Brief 13,,Carta 13,,Mektup 13,,Лист 13,
1,15,ARTICLE,Igeret 14,,rb-igeret-14,Letter 14,,"אגרת י""ד",,Письмо 14,,Brief 14,,Carta 14,,Mektup 14,,Лист 14,
1,16,ARTICLE,Igeret 15,,rb-igeret-15,Letter 15,,"אגרת ט""ו",,Письмо 15,,Brief 15,,Carta 15,,Mektup 15,,Лист 15,
1,17,ARTICLE,Igeret 16,,rb-igeret-16,Letter 16,,"אגרת ט""ז",,Письмо 16,,Brief 16,,Carta 16,,Mektup 16,,Лист 16,
1,18,ARTICLE,Igeret 17,,rb-igeret-17,Letter 17,,"אגרת י""ז",,Письмо 17,,Brief 17,,Carta 17,,Mektup 17,,Лист 17,
1,19,ARTICLE,Igeret 18,,rb-igeret-18,Letter 18,,"אגרת י""ח",,Письмо 18,,Brief 18,,Carta 18,,Mektup 18,,Лист 18,
1,20,ARTICLE,Igeret 19,,rb-igeret-19,Letter 19,,"אגרת י""ט",,Письмо 19,,Brief 19,,Carta 19,,Mektup 19,,Лист 19,
