Level,Position,Type,Name,Description,Pattern,en.name,en.description,he.name,he.description,ru.name,ru.description,de.name,de.description,es.name,es.description,tr.name,tr.description,ua.name,ua.description
1,1,ARTICLE,(1984-01-1) Matarat Hevra 1,,rb-1984-01-1-matarat-hevra-1,Purpose of Society 1,,מטרת החברה - א,,Цель группы-1,,"Artikel 1, Teil 1 (1984)",,"Artículo 1, Parte 1 (1984)",,"Makale 1, Bölüm 1 (1984)",,Мета групи 1,
1,2,ARTICLE,(1984-01-2) Matarat Hevra 2,,rb-1984-01-2-matarat-hevra-2,Purpose of Society 2,,מטרת החברה - ב,,Цель группы-2,,"Artikel 1, Teil 2 (1984)",,"Artículo 1, Parte 2 (1984)",,"Makale 1, Bölüm 2 (1984)",,Мета групи 2,
1,3,ARTICLE,(1984-02) Beinyan Ahavat Haverim,,rb-1984-02-beinyan-ahavat-haverim,Concerning Love of Friends,,בענין אהבת חברים,,О любви к товарищам,,Artikel 2 (1984),,Artículo 2 (1984),,Makale 2 (1984),,Про любов до товаришів,
1,4,ARTICLE,(1984-03) Ahavat Haverim 1,,rb-1984-03-ahavat-haverim-1,Love of Friends,,אהבת חברים - א,,Любовь товарищей-1,,Artikel 3 (1984),,Artículo 3 (1984),,Makale 3 (1984),,Любов товаришів,
1,5,ARTICLE,(1984-04) Ish Et Reehu,,rb-1984-04-ish-et-reehu,They Helped Every One His Friend,,איש את רעהו יעזורו,,Человек да поможет ближнему,,Artikel 4 (1984),,Artículo 4 (1984),,Makale 4 (1984),,Хай людина допоможе ближньому,
1,6,ARTICLE,(1984-05) Ma Noten Lanu,,rb-1984-05-ma-noten-lanu,"What Does the Rule ""Love Thy Friend as Thyself"" Give Us",,מה נותן לנו הכלל של ואהבת לרעך,,"Что дает правило ""возлюби ближнего как самого себя""",,Artikel 5 (1984),,Artículo 5 (1984),,Makale 5 (1984),,"Що дає правило ""полюби ближнього, як самого себе""",
1,7,ARTICLE,(1984-06) Ahavat Haverim,,rb-1984-06-ahavat-haverim,Love of Friends,,אהבת חברים - ב,,Любовь товарищей-2,,Artikel 6 (1984),,Artículo 6 (1984),,Makale 6 (1984),,Любов товаришів,
1,8,ARTICLE,(1984-07) Lefi Ma,,rb-1984-07-lefi-ma,According to What Is Explained about Love Thy Friend as Thyself,,לפי מה שמבואר בענין ואהבת לרעך,,"О правиле ""возлюби ближнего как самого себя""",,Artikel 7 (1984),,Artículo 7 (1984),,Makale 7 (1984),,"Про правило полюби ближнього, як самого себе",
1,9,ARTICLE,(1984-08) Eize Kium Mezakech,,rb-1984-08-eize-kium-mezakech,Which Keeping of Torah and Mitzvot Purifies the Heart,,איזה קיום תורה ומצות מזכך את הלב,,Какое выполнение Торы и заповедей очищает сердце,,Artikel 8 (1984),,Artículo 8 (1984),,Makale 8 (1984),,Яке виконання Тори і заповідей очищає серце,
1,10,ARTICLE,(1984-09) Le Olam Imkor Korot,,rb-1984-09-le-olam-imkor-korot,One Should Always Sell the Beams of His House,,לעולם ימכור אדם קורות ביתו,,Да продаст человек крышу дома своего,,Artikel 9 (1984),,Uno Debe Siempre Vender las Vigas de Su Casa,,Makale 9 (1984),,Нехай продасть людина дах дому свого,
1,11,ARTICLE,(1984-10) Le Eize Darga,,rb-1984-10-le-eize-darga,Which Degree Should One Achieve so He Will Not Have to Reincarnate?,,לאיזה דרגה האדם צריך להגיע שלא יצטרך להתגלגל,,Какой ступени человек должен достичь?,,Artikel 10 (1984),,Artículo 10 (1984),,Makale 10 (1984),,Якого рівня людина повинна досягнути?,
1,12,ARTICLE,(1984-11) Inyan Zchut,,rb-1984-11-inyan-zchut,Article 11 (1984),,ענין זכות אבות,,Заслуги праотцев,,Artikel 11 (1984),,Artículo 11 (1984),,Makale 11 (1984),,Заслуги прабатьків,
1,13,ARTICLE,(1984-12) Inyan Hashivut Hevra,,rb-1984-12-inyan-hashivut-hevra,Concerning the Importance of Society,,ענין חשיבות החברה,,О важности группы,,Artikel 12 (1984),,Artículo 12 (1984),,Makale 12 (1984),,Про важливість групи,
1,14,ARTICLE,(1984-13) Lifamim Mechanim,,rb-1984-13-lifamim-mechanim,"Sometimes Spirituality Is Called ""a Soul""",,"לפעמים מכנים את הרוחניות בשם ""נשמה""",,Имена и названия в духовном,,Artikel 13 (1984),,"Algunas veces la Espiritualidad es llamada ""Alma""",,Makale 13 (1984),,Імена та назви в духовному,
1,15,ARTICLE,(1984-14) Le Olam Imkor,,rb-1984-14-le-olam-imkor,Article 14 (1984),,"לעולם ימכור אדם כל מה שיש לו וישא בת ת""ח",,Обязанность жениться на дочери мудреца,,Artikel 14 (1984),,Artículo 14 (1984),,Makale 14 (1984),,Обов'язок одружитись з дочкою мудреця,
1,16,ARTICLE,(1984-15) Ha Itachen,,rb-1984-15-ha-itachen,Article 15 (1984),,היתכן שירד משמים דבר שלילי,,Как может сойти с Небес что-то плохое?,,Artikel 15 (1984),,Artículo 15 (1984),,Makale 15 (1984),,Як може зійти з Небес щось погане?,
1,17,ARTICLE,(1984-16) Inyan Hashpaa,,rb-1984-16-inyan-hashpaa,Concerning Bestowal,,ענין השפעה,,"Что такое ""желание отдавать""",,Artikel 16 (1984),,Artículo 16 (1984),,Makale 16 (1984),,Що таке бажання віддавати,
1,18,ARTICLE,(1984-17-1) Hashivut Haverim,,rb-1984-17-1-hashivut-haverim,Concerning the Importance of Friends 1,,בענין חשיבות החברים,,О важности товарищей,,"Artikel 17, Teil 1 (1984)",,"Artículo 17, Parte 1 (1984)",,Makale 17 Bölüm 1 (1984),,Про важливість товаришів 1,
1,19,ARTICLE,(1984-17-2) Seder Yeshivat Hevra,,rb-1984-17-2-seder-yeshivat-hevra,"The Agenda of the Assembly"", part 2 (1984)",,סדר ישיבת החברה,,Порядок собрания общества,,"Artikel 17, Teil 2 (1984)",,"Artículo 17, Parte 2 (1984)",,Makale 17 Bölüm 2 (1984),,Про важливість товаришів 2,
1,20,ARTICLE,(1984-18) Ve Haya Ki,,rb-1984-18-ve-haya-ki,Article 18 (1984),,והיה כי תבוא אל הארץ אשר ה' אלקיך נתן לך,,Когда придешь в землю,,Artikel 18 (1984),,Artículo 18 (1984),,Makale 18 (1984),,Коли прийдеш у землю,
1,21,ARTICLE,(1984-19) Atem Nitzavim,,rb-1984-19-atem-nitzavim,"You Stand Today, All of You",,אתם נצבים היום כולכם,,Сегодня вы все предстаете,,Artikel 19 (1984),,"Ustedes están hoy, todos ustedes",,Makale 19 (1984),,Сьогодні ви всі постаєте,
1,22,ARTICLE,(1985-01) Asa Lecha Rav,,rb-1985-01-asa-lecha-rav,Make for Yourself a Rav and Buy Yourself a Friend 1,,עשה לך רב וקנה לך חבר - א',,Сделай себе рава и приобрети друга-1,,Artikel 1 (1985),,Hazte un Rav y Cómprate un Amigo,,Makale 1 (1985),,Зроби собі Рава і придбай товариша,
1,23,ARTICLE,(1985-02) Inyan Anaf,,rb-1985-02-inyan-anaf,Article 2 (1985),,ענין ענף ושורש,,Ветвь и корень,,Artikel 2 (1985),,Artículo 2 (1985),,Makale 2 (1985),,Гілка і корінь,
1,24,ARTICLE,(1985-03) Emet Ve Emuna,,rb-1985-03-emet-ve-emuna,Article 3 (1985),,ענין אמת ואמונה,,Правда и вера,,Artikel 3 (1985),,Artículo 3 (1985),,Makale 3 (1985),,Правда і віра,
1,25,ARTICLE,(1985-04) Ele Toldot,,rb-1985-04-ele-toldot,Article 4 (1985),,אלה תולדות נח,,Вот родословная Ноаха,,Artikel 4 (1985),,Artículo 4 (1985),,Makale 4 (1985),,Ось родовід Ноаха,
1,26,ARTICLE,(1985-05) Lech Lecha 1,,rb-1985-05-lech-lecha-1,Go Forth from Your Country,,לך לך מארצך,,Уйди из земли твоей,,Artikel 5 (1985),,Vete por ti de tu tierra,,Makale 5 (1985),,Вийди з землі твоєї,
1,27,ARTICLE,(1985-06) Va Yere,,rb-1985-06-va-yere,And the Lord Appeared to Him by the Oaks of Mamre,,וירא אליו ה' באלוני ממרא,,И открылся ему Творец в Алоней Мамре,,Artikel 6 (1985),,Y el Señor se le apareció a él en la planicie de Mamré,,Makale 6 (1985),,І відкрився йому Творець в Алоней Мамре,
1,28,ARTICLE,(1985-07) Hayei Sara,,rb-1985-07-hayei-sara,The Life of Sarah,,חיי שרה,,Жизнь Сары,,Artikel 7 (1985),,La Vida de Sara,,Makale 7 (1985),,Життя Сари,
1,29,ARTICLE,(1985-08) Asa Lecha Rav,,rb-1985-08-asa-lecha-rav,Make for Yourself a Rav and Buy Yourself a Friend 2,,עשה לך רב וקנה לך חבר - ב',,Сделай себе рава и приобрети друга-2,,Artikel 8 (1985),,Artículo 8 (1985),,Makale 8 (1985),,Зроби собі Рава і придбай товариша,
1,30,ARTICLE,(1985-09) Ve Itrotzetzu,,rb-1985-09-ve-itrotzetzu,And the Children Racketed Within Her,,ויתרוצצו הבנים בקרבה,,И сталкивались сыны в утробе ее,,Artikel 9 (1985),,Y los niños se entrechocaban dentro de ella,,Makale 9 (1985),,Життя Сари,
1,31,ARTICLE,(1985-10) Ve Yetze,,rb-1985-10-ve-yetze,And Jacob Went Out,,ויצא יעקב,,И вышел Яков,,Artikel 10 (1985),,Y Jacob salió,,Makale 10 (1985),,І вийшов Яків,
1,32,ARTICLE,(1985-11) Ba Inyan Vikuah,,rb-1985-11-ba-inyan-vikuah,Article 11 (1985),,בענין הוויכוח בין יעקב ללבן,,Спор Якова с Лаваном,,Artikel 11 (1985),,Artículo 11 (1985),,Makale 11 (1985),,Суперечка Якова з Лаваном,
1,33,ARTICLE,(1985-12) Va Yeshev,,rb-1985-12-va-yeshev,Article 12 (1985),,וישב יעקב בארץ מגורי אביו,,И поселился Яков,,Artikel 12 (1985),,Artículo 12 (1985),,Makale 12 (1985),,І поселився Яків,
1,34,ARTICLE,(1985-13) Maoz Tzur,,rb-1985-13-maoz-tzur,Mighty Rock of My Salvation,,מעוז צור ישועתי,,Оплот спасения моего,,Artikel 13 (1985),,Quién Da Testimonio De Una Persona,,Makale 13 (1985),,Оплот спасіння мого,
1,35,ARTICLE,(1985-14) Ani Rishon,,rb-1985-14-ani-rishon,I Am the First and I Am the Last,,אני ראשון ואני אחרון,,Я первый и Я последний,,Artikel 14 (1985),,Yo soy el primero y el último,,Makale 14 (1985),,Я перший і Я останній,
1,36,ARTICLE,(1985-15) Va Yesev,,rb-1985-15-va-yesev,Article 15 (1985),,ויסב חזקיהו פניו אל הקיר,,И обратил Хезкияу свое лицо к стене,,Artikel 15 (1985),,Artículo 15 (1985),,Makale 15 (1985),,І обернув Хезкіяу своє обличчя до стіни,
1,37,ARTICLE,(1985-16) Ve Kaasher,,rb-1985-16-ve-kaasher,But the More They Afflicted Them,,וכאשר יענו אותו,,Чем более изнуряли его,,Artikel 16 (1985),,Pero cuanto más les oprimían,,Makale 16 (1985),,Чим більш виснажували його,
1,38,ARTICLE,(1985-17) Ve Yadata,,rb-1985-17-ve-yadata,Article 17 (1985),,וידעת היום והשבות אל לבבך,,Узнай и прими сердцем,,Artikel 17 (1985),,Artículo 17 (1985),,Makale 17 (1985),,Пізнай та прийми серцем,
1,39,ARTICLE,(1985-18) Inyan Mastinim,,rb-1985-18-inyan-mastinim,Article 18 (1985),,ענין המשטינים,,Обвинители,,Artikel 18 (1985),,Artículo 18 (1985),,Makale 18 (1985),,Обвинувачі,
1,40,ARTICLE,(1985-19) Bo El Paro 1,,rb-1985-19-bo-el-paro-1,Article 19 (1985),,בא אל פרעה - א',,Пойдем к фараону-1,,Artikel 19 (1985),,Artículo 19 (1985),,Makale 19 (1985),,Пішли до фараона 1,
1,41,ARTICLE,(1985-20) Mi She Hizek,,rb-1985-20-mi-she-hizek,Article 20 (1985),,מי שחיזק לבו,,Кто укрепил сердце свое,,Artikel 20 (1985),,Artículo 20 (1985),,Makale 20 (1985),,Хто зміцнив серце своє,
1,42,ARTICLE,(1985-21) Yesh Tamid,,rb-1985-21-yesh-tamid,Article 21 (1985),,יש תמיד להבחין בין תורה לעבודה,,Время Торе и время молитве,,Artikel 21 (1985),,Artículo 21 (1985),,Makale 21 (1985),,Час Тори та час молитви,
1,43,ARTICLE,(1985-22) Kol Ha Tora,,rb-1985-22-kol-ha-tora,Article 22 (1985),,כל התורה היא שם אחד קדוש,,Вся Тора - это одно святое Имя,,Artikel 22 (1985),,Artículo 22 (1985),,Makale 22 (1985),,Вся Тора - одне святе Ім'я,
1,44,ARTICLE,(1985-23) Al Mishkavi,,rb-1985-23-al-mishkavi,On My Bed at Night,,על משכבי בלילות,,На ложе ночном,,Artikel 23 (1985),,Sobre mi lecho por la Noche,,Makale 23 (1985),,На ложі нічному,
1,45,ARTICLE,(1985-24) Gimel Zmanim,,rb-1985-24-gimel-zmanim,Article 24 (1985),,ג' זמנים בעבודה,,Три времени в работе,,Artikel 24 (1985),,Artículo 24 (1985),,Makale 24 (1985),,Три періоди в роботі,
1,46,ARTICLE,(1985-25) Be Kol Davar,,rb-1985-25-be-kol-davar,Article 25 (1985),,בכל דבר יש להבחין בין אור לכלי,,Во всем надо проводить различие между светом и сосудом (кли),,Artikel 25 (1985),,Artículo 25 (1985),,Makale 25 (1985),,В усьому необхідно бачити відміність між світлом та посудиною (клі),
1,47,ARTICLE,(1985-26) Hareni Et Kvodha,,rb-1985-26-hareni-et-kvodha,Article 26 (1985),,הראני את כבודך,,Покажи мне величие Свое,,Artikel 26 (1985),,Artículo 26 (1985),,Makale 26 (1985),,Покажи мені велич Свою,
1,48,ARTICLE,(1985-27) Maamar Ha Tshuva,,rb-1985-27-maamar-ha-tshuva,Article 27 (1985),,מאמר התשובה,,Возвращение,,Artikel 27 (1985),,Artículo 27 (1985),,Makale 27 (1985),,Повернення,
1,49,ARTICLE,(1985-28) Maamar Ha Meraglim,,rb-1985-28-maamar-ha-meraglim,Article 28 (1985),,מאמר המרגלים,,О разведчиках,,Artikel 28 (1985),,Artículo 28 (1985),,Makale 28 (1985),,Про розвідників,
1,50,ARTICLE,(1985-29) Karov Ashem,,rb-1985-29-karov-ashem,Article 29 (1985),,קרוב ה' לכל קוראיו,,Близок Творец ко всем зовущим Его,,Artikel 29 (1985),,Artículo 29 (1985),,Makale 29 (1985),,"Близький Творець до всіх, хто кличе Його",
1,51,ARTICLE,(1985-30) Gimel Tfilot,,rb-1985-30-gimel-tfilot,Article 30 (1985),,ג' תפלות - א',,Три молитвы,,Artikel 30 (1985),,Artículo 30 (1985),,Makale 30 (1985),,Три молитви,
1,52,ARTICLE,(1985-31) Ein Adam,,rb-1985-31-ein-adam,Article 31 (1985),,אין אדם משים עצמו רשע,,Не видит себя грешником,,Artikel 31 (1985),,Artículo 31 (1985),,Makale 31 (1985),,Не бачити себе грішником,
1,53,ARTICLE,(1985-32) Inyan Sachar,,rb-1985-32-inyan-sachar,Article 32 (1985),,בענין השכר המקבלים,,Награда получающим,,Artikel 32 (1985),,Artículo 32 (1985),,Makale 32 (1985),,"Нагорода тим, хто отримує",
1,54,ARTICLE,(1985-33) Poshei Israel,,rb-1985-33-poshei-israel,Article 33 (1985),,פושעי ישראל,,Преступники Израиля,,Artikel 33 (1985),,Artículo 33 (1985),,Makale 33 (1985),,Злочинці Ізраїлю,
1,55,ARTICLE,(1985-34) Ve Etchanen,,rb-1985-34-ve-etchanen,Article 34 (1985),,ואתחנן אל ה',,И взмолился я Творцу,,Artikel 34 (1985),,Artículo 34 (1985),,Makale 34 (1985),,І благав я Творця,
