Level,Position,Type,Name,Description,Pattern,en.name,en.description,he.name,he.description,ru.name,ru.description,de.name,de.description,es.name,es.description,tr.name,tr.description,ua.name,ua.description
1,1,ARTICLE,001 Atzilut,,rb-dargot-sulam-001-atzilut,Article 1,,אצילות היא השגחה פרטית,,Ацилут – это личное управление,,Azilut ist persönliche Vorsehung,,Artículo 1,,Makale 1,,Ацилут - це особисте управління,
1,2,ARTICLE,002 Akaat Ha Machshavot,,rb-dargot-sulam-002-akaat-ha-machshavot,Article 2,,הכאת המחשבות לאדם,,Оттолкновение мыслей человека,,Der Mensch wird mit Gedanken geschlagen,,Artículo 2,,Makale 2,,Відштовхування думок людини,
1,3,ARTICLE,003 Be Al Korchecha 1,,rb-dargot-sulam-003-be-al-korchecha-1,Article 3,,בעל כורחך (א'),,Не по своей воле-1,,Unter Zwang wurdest du geboren,,Artículo 3,,Makale 3,,Не з своєї волі (1),
1,4,ARTICLE,004 Neara Betula,,rb-dargot-sulam-004-neara-betula,Article 4,,כי יהיה נערה בתולה,,Если будет молодая девица,,"Wenn eine Jungfrau, die einem Mann verlobt ist",,Artículo 4,,Makale 4,,Якщо буде молода дівчина,
1,5,ARTICLE,005 Zdonot Naasu,,rb-dargot-sulam-005-zdonot-naasu,Article 5,,ענין זדונות נעשו כזכיות,,Намеренные прегрешения становятся заслугами,,Artikel 5,,Artículo 5,,Makale 5,,Навмисні гріхи стають заслугами,
1,6,ARTICLE,006 Goi She Shabat,,rb-dargot-sulam-006-goi-she-shabat,Article 6,,גוי ששבת חייב מיתה,,"Нееврей, хранивший субботу, должен умереть",,Artikel 6,,Artículo 6,,Makale 6,,"Неєврей, який зберігав суботу, повинен померти",
1,7,ARTICLE,007 Tikun Kavim,,rb-dargot-sulam-007-tikun-kavim,Article 7,,תיקון קוים,,Исправление линий,,Die Korrektur der Linien,,Artículo 7,,Makale 7,,Виправлення ліній,
1,8,ARTICLE,008 Darka Shel Tora 1,,rb-dargot-sulam-008-darka-shel-tora-1,Article 8,,כך היא דרכה של תורה (א'),,Таков путь Торы-1,,So ist der Weg der Tora,,Artículo 8,,Makale 8,,Такий шлях Тори (1),
1,9,ARTICLE,009 Siag Le Hohma 1,,rb-dargot-sulam-009-siag-le-hohma-1,Article 9,,סייג לחכמה שתיקה (א'),,Ограда мудрости – молчание-1,,Artikel 9,,Artículo 9,,Makale 9,,Огорожа мудрості - мовчання (1),
1,10,ARTICLE,010 Iohav Ashem,,rb-dargot-sulam-010-iohav-ashem,Article 10,,כי את אשר יאהב ה' יוכיח,,"Кого Творец полюбит, того Он убедит",,Artikel 10,,Artículo 10,,Makale 10,,"Кого Творець полюбить, того Він переконає",
