Level,Position,Type,Name,Description,Pattern,en.name,en.description,he.name,he.description,ru.name,ru.description,de.name,de.description,es.name,es.description,tr.name,tr.description,ua.name,ua.description
1,1,VOLUME,Vol. 1,Hakdamot,,Vol. 1,,כרך א',הקדמות,Том 1,,Band 1,,Vol. 1,,Cilt 1,,Том 1,
2,1,BOOK,Hakdamat Sefer Zohar,,zohar-la-am-hakdama,,,הקדמת ספר הזוהר,,,,,,,,,,,
3,1,ARTICLE,Shoshana,,zohar-la-am-hakdama-shoshana,,,השושנה,,,,,,,,,,,
3,2,ARTICLE,Shoshana (Marot Sulam),,zohar-la-am-hakdama-shoshana-marot-sulam,,,השושנה (מראות הסולם),,,,,,,,,,,
3,3,ARTICLE,Nitzanim,,zohar-la-am-hakdama-nitzanim,,,נצנים,,,,,,,,,,,
3,4,ARTICLE,Mi Bara Ele,,zohar-la-am-hakdama-mi-bara-ele,,,מי ברא אלה,,,,,,,,,,,
3,5,ARTICLE,Mi Bara Ele (Eliyahu),,zohar-la-am-hakdama-mi-bara-ele-eliyahu,,,מי ברא אלה של אליהו,,,,,,,,,,,
3,6,ARTICLE,Ima Hishila Bgadieha,,zohar-la-am-hakdama-ima-hishila-bgadieha,,,אמא השאילה בגדיה לבתה,,,,,,,,,,,
3,7,ARTICLE,Otiot Himnona Saba,,zohar-la-am-hakdama-otiot-himnona-saba,,,אותיות דרב המנונא סבא,,,,,,,,,,,
3,8,ARTICLE,Hochma Olam Omed Aleia,,zohar-la-am-hakdama-hochma-olam-omed-aleia,,,"חכמה, שהעולם עומד עליה",,,,,,,,,,,
3,9,ARTICLE,Manula Mifteha,,zohar-la-am-hakdama-manula-mifteha,,,מנעולא ומפתחא,,,,,,,,,,,
3,10,ARTICLE,Bhibaram Bavraham,,zohar-la-am-hakdama-bhibaram-bavraham,,,בהבראם באברהם,,,,,,,,,,,
3,11,ARTICLE,Hizaion Rabi Hia,,zohar-la-am-hakdama-hizaion-rabi-hia,,,החיזיון של רבי חייא,,,,,,,,,,,
3,12,ARTICLE,Imi Ata Be Shutfut,,zohar-la-am-hakdama-imi-ata-be-shutfut,,,עימי אתה בשותפות,,,,,,,,,,,
3,13,ARTICLE,Molich Hamorim,,zohar-la-am-hakdama-molich-hamorim,,,מוליך החמורים,,,,,,,,,,,
3,14,ARTICLE,Shtei Nekudot,,zohar-la-am-hakdama-shtei-nekudot,,,שתי נקודות,,,,,,,,,,,
3,15,ARTICLE,Lila Decala,,zohar-la-am-hakdama-lila-decala,,,ליל הכלה,,,,,,,,,,,
3,16,ARTICLE,Shamim Vearetz,,zohar-la-am-hakdama-shamim-vearetz,,,שמיים וארץ,,,,,,,,,,,
3,17,ARTICLE,Kol Goim Mein Kamocha,,zohar-la-am-hakdama-kol-goim-mein-kamocha,,,כי בכל חכמי הגויים מאין כמוך,,,,,,,,,,,
3,18,ARTICLE,Mi Zot,,zohar-la-am-hakdama-mi-zot,,,מי זאת,,,,,,,,,,,
3,19,ARTICLE,Sameach Bemoadim,,zohar-la-am-hakdama-sameach-bemoadim,,,שמח במועדים ואינו נותן לעניים,,,,,,,,,,,
3,20,ARTICLE,Tora Vetfila,,zohar-la-am-hakdama-tora-vetfila,,,תורה ותפילה,,,,,,,,,,,
3,21,ARTICLE,Yetizat Rashbi Memeara,,zohar-la-am-hakdama-yetizat-rashbi-memeara,,,יציאת רבי שמעון מהמערה,,,,,,,,,,,
3,22,ARTICLE,Mitzva 1,,zohar-la-am-hakdama-mitzva-1,,,"מצוות התורה, המצווה הראשונה",,,,,,,,,,,
3,23,ARTICLE,Mitzva 2,,zohar-la-am-hakdama-mitzva-2,,,המצווה השנייה,,,,,,,,,,,
3,24,ARTICLE,Mitzva 3,,zohar-la-am-hakdama-mitzva-3,,,המצווה השלישית,,,,,,,,,,,
3,25,ARTICLE,Mitzva 4,,zohar-la-am-hakdama-mitzva-4,,,המצווה הרביעית,,,,,,,,,,,
3,26,ARTICLE,Mitzva 5,,zohar-la-am-hakdama-mitzva-5,,,המצווה החמישית,,,,,,,,,,,
3,27,ARTICLE,Mitzva 6,,zohar-la-am-hakdama-mitzva-6,,,המצווה השישית,,,,,,,,,,,
3,28,ARTICLE,Mitzva 7,,zohar-la-am-hakdama-mitzva-7,,,המצווה השביעית,,,,,,,,,,,
3,29,ARTICLE,Mitzva 8,,zohar-la-am-hakdama-mitzva-8,,,המצווה השמינית,,,,,,,,,,,
3,30,ARTICLE,Mitzva 9,,zohar-la-am-hakdama-mitzva-9,,,המצווה התשיעית,,,,,,,,,,,
3,31,ARTICLE,Mitzva 10,,zohar-la-am-hakdama-mitzva-10,,,המצווה העשירית,,,,,,,,,,,
3,32,ARTICLE,Mitzva 11,,zohar-la-am-hakdama-mitzva-11,,,המצווה האחת עשרה,,,,,,,,,,,
3,33,ARTICLE,Mitzva 12,,zohar-la-am-hakdama-mitzva-12,,,המצווה השתים עשרה,,,,,,,,,,,
3,34,ARTICLE,Mitzva 13,,zohar-la-am-hakdama-mitzva-13,,,המצווה השלש עשרה,,,,,,,,,,,
3,35,ARTICLE,Mitzva 14,,zohar-la-am-hakdama-mitzva-14,,,המצווה הארבע עשרה,,,,,,,,,,,
3,36,ARTICLE,Biur Clali Lemitzvot,,zohar-la-am-hakdama-biur-clali-lemitzvot,,,"ביאור כללי לכל י""ד (14) מצוות, ואיך מתחלקות לשבעה ימי בראשית",,,,,,,,,,,
3,37,ARTICLE,Biur Hitchalkut,,zohar-la-am-hakdama-biur-hitchalkut,,,"ביאור התחלקות י""ד מצוות בעשרה מאמרות",,,,,,,,,,,
1,2,VOLUME,Vol. 2,Bereshit 1,,Vol. 2,Bereshit-1,כרך ב',בראשית-א,Том 2,Берешит-1,Band 2,Bereschit-1,Vol. 2,Bereshit-1,Cilt 2,Yaratılış-1,Том 2,Берешіт-1
2,1,PARASHA,Bereshit-1,,zohar-la-am-bereshit-1,Bereshit-1,,בראשית-א,,Берешит-1,,Bereschit-1,,Bereshit-1,,Yaratılış-1,,Берешіт-1,
2,2,PARASHA,Bereshit-2,,zohar-la-am-bereshit-2,Bereshit-2,,בראשית-ב,,Берешит-2,,Bereschit-2,,Bereshit-2,,Yaratılış-2,,Берешіт-2,
2,3,PARASHA,Noah,,zohar-la-am-noah,Noah,,נוח,,Ноах,,Noach,,Noaj,,Nuh,,Ноах,
2,4,PARASHA,Lech Lecha,,zohar-la-am-lech-lecha,Lech Lecha,,לך לך,,Лех-леха,,Lech-Lecha,,Lej Lejá,,Lek Lekha,,Лех-леха,
1,3,VOLUME,Vol. 3,Bereshit 2,,Vol. 3,Bereshit-2,כרך ג',בראשית-ב,Том 3,Берешит-2,Band 3,Bereschit-2,Vol. 3,Bereshit-2,Cilt 3,Yaratılış-2,Том 3,Берешіт-2
2,1,PARASHA,VaYera,,zohar-la-am-vayera,VaYera,,ויירא,,Ваера,,WaJera,,Vaierá,,VaYera,,Ваєра,
2,2,PARASHA,Chayei Sarah,,zohar-la-am-chayeisarah,Chayei Sarah,,חיי שרה,,Хаей Сара,,Chaje Sara,,Jaiei Sará,,Hayey Sara,,Хаєй Сара,
2,3,PARASHA,Toldot,,zohar-la-am-toldot,Toldot,,תולדות,,Толдот,,Toldot,,Toldot,,Toldot,,Толдот,
2,4,PARASHA,VaYetze,,zohar-la-am-vayetze,VaYetze,,ויצא,,Ваеце,,Wajeze,,Vaietzé,,VaYetze,,Ваєце,
2,5,PARASHA,VaYishlach,,zohar-la-am-vayeshlah,VaYishlach,,וישלח,,Ваишлах,,Wajischlach,,Vaishlaj,,VaYislakh,,Ваїшлах,
2,6,PARASHA,VaYeshev,,zohar-la-am-vayeshev,VaYeshev,,וישב,,Ваешев,,Wajeschew,,Vaieshev,,VaYeşhev,,Ваєшев,
2,7,PARASHA,Miketz,,zohar-la-am-miketz,Miketz,,מקץ,,Микец,,Mikez,,Miketz,,Miketz,,Мікец,
2,8,PARASHA,VaYigash,,zohar-la-am-vayigash,VaYigash,,ויגש,,Ваигаш,,Wajigasch,,Vaigash,,VaYigaş,,Ваїгаш,
2,9,PARASHA,VaYechi,,zohar-la-am-vayechi,VaYechi,,ויחי,,Ваихи,,Wajechi,,Vaiejí,,VaYekhi,,Ваєхі,
1,4,VOLUME,Vol. 4,Shmot 1,,Vol. 4,Shmot-1,כרך ד',שמות-א,Том 4,Шмот-1,Band 4,Schmot-1,Vol. 4,Shemot-1,Cilt 4,Şemot-1,Том 4,Шмот-1
2,1,PARASHA,Shmot,,zohar-la-am-shmot,Shmot,,שמות,,Шмот,,Schmot,,Shemot,,Şemot,,Шмот,
2,2,PARASHA,VaEra,,zohar-la-am-vaera,VaEra,,וארא,,Ваира,,Wajera,,Vaerá,,Vaera,,Ваера,
2,3,PARASHA,Bo,,zohar-la-am-bo,Bo,,בוא,,Бо,,Bo,,Bo,,Bo,,Бо,
2,4,PARASHA,BeShalach,,zohar-la-am-beshalach,BeShalach,,בשלח,,Бешалах,,Beschalach,,Beshalaj,,BeŞalakh,,Бешалах,
2,5,PARASHA,Yitro,,zohar-la-am-yitro,Yitro,,יתרו,,Итро,,Jitro/Jetro/Jethro,,Itró,,Yitro,,Їтро,
2,6,PARASHA,Mishpatim,,zohar-la-am-mishpatim,Mishpatim,,משפטים,,Мишпатим,,Mischpatim,,Mishpatím,,Mişpatim,,Мішпатім,
1,5,VOLUME,Vol. 5,Shmot 2,,Vol. 5,Shmot-2,כרך ה',שמות-ב,Том 5,Шмот-2,Band 5,Schmot-2,Vol. 5,Shemot-2,Cilt 5,Şemot-2,Том 5,Шмот-2
2,1,PARASHA,Truma,,zohar-la-am-truma,Truma,,תרומה,,Трума,,Truma,,Trumá,,Truma,,Трума,
2,2,BOOK,Safra De Tzneuta,,zohar-la-am-safra-de-tzneuta,Safra DeTzneuta,,ספרא דצניעותא,,,,,,,,,,,
2,3,PARASHA,Tetzaveh,,zohar-la-am-tetzaveh,Tetzaveh,,תצווה,,Тецавэ,,Tezawe,,Tetzavé,,Tetzaveh,,Тецаве,
2,4,PARASHA,Ki Tisa,,zohar-la-am-ki-tisa,Ki Tisa,,כי תשא,,Тиса,,Ki Tisa,,Ki Tisá,,Ki Tisa,,Тіса,
2,5,PARASHA,VaYakhel,,zohar-la-am-vayakhel,VaYakhel,,ויקהל,,Вэикаэль,,Wejakel,,Vaiakhél,,VaYakhel,,Ваякгель,
2,6,PARASHA,Pekudei,,zohar-la-am-pkudei,Pekudei,,פקודי,,Пкудэй,,Pekudei,,Pekudei,,Pekudey,,Пкудей,
1,6,VOLUME,Vol. 6,VaYikra,,Vol. 6,VaYikra,כרך ו',ויקרא,Том 6,Ваикра,Band 6,Wajikra,Vol. 6,Vayikrá,Cilt 6,Vayikra,Том 6,Ваїкра
2,1,PARASHA,VaYikra,,zohar-la-am-vayikra,VaYikra,,ויקרא,,Ваикра,,Wajikra,,Vayikrá,,Vayikra,,Ваїкра,
2,2,PARASHA,Tzav,,zohar-la-am-tzav,Tzav,,צו,,Цав,,Zaw,,Tzav,,Tzav,,Цав,
2,3,PARASHA,Shmini,,zohar-la-am-shmini,Shmini,,שמיני,,Шмини,,Schmini,,Shemini,,Şimini,,Шміні,
2,4,PARASHA,Tazria,,zohar-la-am-tazria,Tazria,,תזריע,,Тазриа,,Tasria,,Tazria,,Tazria,,Тазріа,
2,5,PARASHA,Metzora,,zohar-la-am-metzora,Metzora,,מצורע,,Мецора,,Mezora,,Metzorá,,Metzora,,Мецора,
2,6,PARASHA,Acharei Mot,,zohar-la-am-aharei-mot,Acharei Mot,,אחרי מות,,Ахарей,,Acharei Mot,,Ajaréi Mot,,Akhrey Mot,,Ахарей,
2,7,PARASHA,Kdoshim,,zohar-la-am-kedoshim,Kdoshim,,קדושים,,Кдошим,,Kedoschim,,Kedoshím,,Kodoşim,,Кдошім,
2,8,PARASHA,Emor,,zohar-la-am-emor,Emor,,אמור,,Эмор,,Emor,,Emor,,Emor,,Емор,
2,9,PARASHA,Behar,,zohar-la-am-behar,Behar,,בהר,,Бахар,,BaChar,,Behar,,Behar,,Бегар,
2,10,PARASHA,BeHukotai,,zohar-la-am-bechukotai,BeHukotai,,בחוקתי,,Бехукотай,,BeChukotai,,Bejukotái,,BeHukotay,,Бехукотай,
1,7,VOLUME,Vol. 7,Bamidbar,,Vol. 7,Bamidbar,כרך ז',במדבר,Том 7,Бамидбар,Band 7,Bamidbar,Vol. 7,Bamidbar,Cilt 7,BaMidbar,Том 7,Бамідбар
2,1,PARASHA,Bamidbar,,zohar-la-am-bamidbar,Bamidbar,,במדבר,,Бамидбар,,Bamidbar,,Bamidbar,,BaMidbar,,Бамідбар,
2,2,PARASHA,Naso,,zohar-la-am-naso,Naso,,נשא,,Насо,,Naso,,Nasó,,Naso,,Насо,
2,3,PARASHA,Behaalotecha,,zohar-la-am-bealutcha,Behaalotecha,,בהעלותך,,Баалотха,,Bechaalotcha,,Behaalotjá,,Behaalotekha,,Беалотха,
2,4,PARASHA,Shlah Lecha,,zohar-la-am-shlah-lecha,Shlah Lecha,,שלח לך,,Шлах,,Schlach-Lecha,,Shlaj,,Şılah,,Шлах,
2,5,PARASHA,Korach,,zohar-la-am-korach,Korach,,קרח,,Корах,,Korach,,Koraj,,Korakh,,Корах,
2,6,PARASHA,Chukat,,zohar-la-am-chukat,Chukat,,חקת,,Хукат,,Chukat,,Jukat,,Çukat,,Хукат,
2,7,PARASHA,Balak,,zohar-la-am-balak,Balak,,בלק,,Балак,,Balak,,Balak,,Balak,,Балак,
2,8,PARASHA,Pinchas,,zohar-la-am-pinchas,Pinchas,,פינחס,,Пинхас,,Pinchas,,Pinjas,,Pinkhas,,Пінхас,
2,9,PARASHA,Matot,,zohar-la-am-matot,Matot,,מטות,,Матот,,Matot,,Matot,,Malot,,Матот,
1,8,VOLUME,Vol. 8,Devarim,,Vol. 8,Devarim,כרך ח',דברים,Том 8,Дварим,Band 8,Dwarim,Vol. 8,Devarím,Cilt 8,Devarim,Том 8,Дварім
2,1,PARASHA,Va'Etchanan,,zohar-la-am-vaetchanan,Va'Etchanan,,ואתחנן,,Вээтханан,,WaEtchanan,,Vaetjanán,,VaEtkhanan,,Ваетханан,
2,2,PARASHA,Ekev,,zohar-la-am-ekev,Ekev,,עקב,,Экев,,Ekev,,Ekev,,Ekev,,Екев,
2,3,PARASHA,Shoftim,,zohar-la-am-shoftim,Shoftim,,שופטים,,Шофтим,,Schoftim,,Shoftím,,Şoftim,,Шофтім,
2,4,PARASHA,Ki Tetze,,zohar-la-am-ki-tetze,Ki Tetze,,כי תצא,,Ки Тецэ,,Ki Teze,,Ki Tetzé,,Ki Tetze,,Кі Теце,
2,5,PARASHA,VaYelech,,zohar-la-am-veileh,VaYelech,,וילך,,Ваелех,,Wajelech,,Vaiélej,,VaYelekh,,Ваєлех,
2,6,PARASHA,Haazinu,,zohar-la-am-haazinu,Haazinu,,האזינו,,Азину,,HaAsinu,,Haazinu,,Hazinu,,Гаазіну,
1,9,VOLUME,Vol. 9,Zohar Hadash 1,,Vol. 9,,כרך ט',זוהר חדש-א,Том 9,,Band 9,,Vol. 9,,Cilt 9,,Том 9,
2,1,PARASHA,Bereshit,,zohar-la-am-hadash-bereshit,Bereshit,,בראשית,,Берешит,,Bereschit,,Bereshit,,Yaratılış,,Берешіт,
2,2,PARASHA,Noah,,zohar-la-am-hadash-noah,Noah,,נח,,Ноах,,Noach,,Noaj,,Nuh,,Ноах,
2,3,PARASHA,Lech Lecha,,zohar-la-am-hadash-lech-lecha,Lech Lecha,,לך לך,,Лех-леха,,Lech-Lecha,,Lej Lejá,,Lek Lekha,,Лех-леха,
2,4,PARASHA,VaYera,,zohar-la-am-hadash-vayera,VaYera,,וירא,,Ваера,,WaJera,,Vaierá,,VaYera,,Ваєра,
2,5,PARASHA,Toldot,,zohar-la-am-hadash-toldot,Toldot,,תולדות,,Толдот,,Toldot,,Toldot,,Toldot,,Толдот,
2,6,PARASHA,VaYetze,,zohar-la-am-hadash-vayetze,VaYetze,,ויצא,,Ваеце,,Wajeze,,Vaietzé,,VaYetze,,Ваєце,
2,7,PARASHA,VaYeshev,,zohar-la-am-hadash-vayeshev,VaYeshev,,וישב,,Ваешев,,Wajeschew,,Vaieshev,,VaYeşhev,,Ваєшев,
2,8,PARASHA,BeShalach,,zohar-la-am-hadash-beshalach,BeShalach,,בשלח,,Бешалах,,Beschalach,,Beshalaj,,BeŞalakh,,Бешалах,
2,9,PARASHA,Yitro,,zohar-la-am-hadash-yitro,Yitro,,יתרו,,Итро,,Jitro/Jetro/Jethro,,Itró,,Yitro,,Їтро,
2,10,PARASHA,Truma,,zohar-la-am-hadash-truma,Truma,,תרומה,,Трума,,Truma,,Trumá,,Truma,,Трума,
2,11,PARASHA,Tzav,,zohar-la-am-hadash-tzav,Tzav,,צו,,Цав,,Zaw,,Tzav,,Tzav,,Цав,
1,10,VOLUME,Vol. 10,Zohar Hadash 2,,Vol. 10,,כרך י',זוהר חדש-ב,Том 10,,Band 10,,Vol. 10,,Cilt 10,,Том 10,
