level,kmedia_catalog,pattern,description,en.label,he.label,ru.label,es.label,ua.label
1,7917,lesson-topic,Lesson topics,Lesson topics,נושאי שיעור,,,
2,7918,bitachon-ve-simcha,,Confidence and Joy,ביטחון ושמחה,Уверенность и радость,,Впевненість і радість
2,7919,ahavat-haverim,,Love of Friends,אהבת חברים,Любовь товарищей,,Любов товаришів
2,7920,arvut,,The Mutual Guarantee,ערבות,Поручительство,,Порука
2,7921,savlanut,,Patience,סבלנות,Терпение,,Терпіння
2,7922,regishut-le-hibur,,Sensitivity to unite,רגישות לחיבור,Чувствительность к объединению,La sensibilidad a la union,Чутливість до об'єднання
2,7923,tfila-machatzit-shekel,,Prayer. Half-shekel,"תפילה, מחצית השקל",Молитва. Половина шекеля,Oración,Молитва
2,7924,simhat-tora,,Simchat Torah,שמחת תורה,Радость Торы,Alegría de la Torá,Радість Тори
2,7925,dvekut,,Adhesion,דביקות,Слияние,,
2,7926,laasot-mi-sono-ohavo,,Making His Hater Into His Lover,לעשות משונאו – אוהבו,Сделать из ненавистника - любящего,,Зробити з ненависника - люблячого
2,7927,shlemut,,Perfection,שלמות,Совершенство,,Досконалість
2,7928,zrizut,,Humbleness,זריזות,Расторопность,,Прискорення
2,7929,hachnaa,,Subjugation,הכנעה,Покорность,,Покірність
2,7930,busha,,Shame,בושה,Стыд,,Сором
2,7931,hahitgabrut-hi-rak-pniya-la-bore,,Overcoming is only - turning to the Creator,ההתגברות היא רק – פניה לבורא,Преодоление - это только внутреннее обращение к Творцу,,
2,7932,ahavat-briyot-ahavat-ashem,,From Love for the Created Beings to The Love for the Creator,מאהבת הבריות לאהבת ה',От любви к творениям к любви к Творцу,,Від любові до творінь до любові до Творця
2,7933,hodaya,,Gratitude,הודיה,Благодарность,,Вдячність
2,7934,bitul,,Nullification,ביטול,Отмена,Anulación,Відміна
2,7935,brit,,Union,ברית,Союз,El Pacto,Союз
2,7936,ahrayut,,Responsibility,אחריות,Ответственность,,Відповідальність
2,7937,ira,,Trembling,יראה,Трепет,Temor,Трепіт
